arm,v,a,na,pa,pos_share,shift
pre,0.5857781746918118,0.36348995695810077,1.8104056066437368,1.9748456839267061,0.7188715844397502,0.0
highway_prose,0.4368134187048117,0.4976739388460824,2.4508504953538024,2.2112510318095397,0.13582923938418642,0.20048900099900907
highway_verse,0.48121494715257473,0.4665825494589596,2.022360279526051,2.118942393719532,0.4644347665604362,0.14683852077016576
gothic_verse,0.5709436976565109,0.3819395150070832,2.1370594029772607,2.555654696136789,0.772002936162141,0.023673780879142275
gothic_prose,0.5217728787203966,0.44664761356979077,1.9988324714548817,2.615055194124648,0.2769966893430007,0.10493747550582781
