state,alpha_frac,probe_v,probe_a,state_share,calm_share,neg_share,panas_pa,panas_na,excited,inspired,determined,proud,strong,nervous,n_sae_active,in_plane_frac
eros,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.1931878924369812
eros,0.05,0.5229223632925696,0.41720343298101203,6.938167826468357e-05,0.9971733373861227,0.002757280935612511,1.9956574568392362,1.8335173755450367,2.409829790268051,1.787915130136978,1.7383107850818253,1.909818600326196,1.7652377931623988,1.8759612363613734,71,0.1931878924369812
eros,0.1,0.45053892645987176,0.47245791029709017,0.00016299853957329962,0.9956322071540236,0.004204794306403196,1.995227680424285,1.8508666878554318,2.3807975213517967,1.7649932438732727,1.7538167688554003,1.9757858638286985,1.787756910889088,1.9215539895616538,68,0.1931878924369812
eros,0.2,0.2919232109710648,0.584653821752653,0.0008928766612899055,0.9885787783502544,0.01052834498845559,2.009633987427975,1.8853295636747045,2.2352226390181746,1.73757776257634,1.7720978779229668,2.1332818090378742,1.885032221469691,1.9519926791509998,76,0.1931878924369812
eros,0.4,0.005985851508667428,0.8052281739264975,0.012056764998253438,0.9457505192265035,0.04219271577524324,2.5001301536924534,2.354098644043317,2.2223767970547925,2.250525840586237,2.2624735901753104,2.2529692710312084,2.5248246527624234,2.248713608931647,93,0.1931878924369812
creativity,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.14198090136051178
creativity,0.05,0.6060774548573102,0.39904146454077905,0.00046918967222594576,0.9979411772926401,0.0015896330351340001,1.8763968479735702,1.7376699609457844,2.282884796104927,1.6817420793380036,1.6406169699461288,1.824515919116466,1.6302680844669568,1.7520114230440882,69,0.14198090136051178
creativity,0.1,0.6327484016713013,0.4342484519300801,0.0011430935280960035,0.9972991967173442,0.0015577097545600054,1.8245694172378137,1.7165158638056137,2.212025273059257,1.6093394170078108,1.6124411997238957,1.8613314288791785,1.5880338169542192,1.7680068973198408,66,0.14198090136051178
creativity,0.2,0.7001282516553622,0.5038795947460246,0.008388486704944378,0.9883886626242473,0.003222850670808256,1.9355103525798047,1.87758371198071,2.2524604580072274,1.6571252854249194,1.7147030698680816,2.152549546332054,1.7878475110255028,1.9195802030418334,59,0.14198090136051178
creativity,0.4,0.8436592030666101,0.6454006370981168,0.4946112641365239,0.4711687590459161,0.034219976817560116,2.549703885702115,2.6127350758254337,2.566896944343436,2.3468445972541447,2.358456529772519,2.6900445640629664,2.3615582077789172,2.5465359989681398,68,0.14198090136051178
imaginative,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.14470186829566956
imaginative,0.05,0.5979217635600902,0.40106041620886745,0.0001662005330203582,0.9982358551264024,0.001597944340577009,1.985951578769209,1.7304737863347068,2.3933394802199937,1.7593668936739002,1.6883943311452447,1.8673391609915586,1.721699369639168,1.7273355632114815,67,0.14470186829566956
imaginative,0.1,0.6162806998155927,0.4387059397077501,0.000752600906261461,0.9977366662669294,0.0015107328268090423,1.989837624662631,1.6478908367245553,2.3614935389658775,1.700541027955944,1.6732917119394475,1.8623339097970246,1.724848975371893,1.6427386185420771,66,0.14470186829566956
imaginative,0.2,0.6757991390571921,0.5148887479092306,0.00963045473233001,0.9879164059854898,0.0024531392821800654,2.0572464071366445,1.6678255831221531,2.295233244767906,1.551158757682218,1.7274746460161277,1.8182831916779862,1.8321800885444117,1.5531149967691422,69,0.14470186829566956
imaginative,0.4,0.8285757595975384,0.6806662312621592,0.07315134936816346,0.9203535292042263,0.0064951214276101595,1.1302524298256422,1.1052778323091066,1.1431218802199268,1.0816345197454282,1.0805179917073446,1.0402044288647643,1.1084378932374066,1.1151546892181772,96,0.14470186829566956
determined,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.138972207903862
determined,0.05,0.5528872680406276,0.4046729153108004,0.0003563208346273938,0.9980760613542029,0.0015676178111696602,2.1189149380561076,1.9198220354489468,2.539486365601302,1.8906266274149115,1.8133163681807205,2.0014708431262123,1.8329618071057774,1.8859778138681516,68,0.138972207903862
determined,0.1,0.5202551285188625,0.4452416514569766,0.001358248296045136,0.9972822525834748,0.0013594991204800488,2.2692935455566525,2.0524426441272228,2.664964233027171,1.9990508428602185,1.951702719217528,2.194432938578237,1.9445635218056845,1.9906431526257227,59,0.138972207903862
determined,0.2,0.4543496453156233,0.5224682492242408,0.023333927816208445,0.9753186975559257,0.0013473746278656554,2.5733140872543254,2.3314106926593072,2.7474945628744725,2.242471303745679,2.272542526815765,2.5427895875021704,2.281289287167239,2.217960885609882,55,0.138972207903862
determined,0.4,0.32289897940931866,0.6672947299481119,0.6919232831079815,0.30402527219055253,0.00405144470146594,2.236840228904691,2.2710969334477156,2.329474545724853,2.0421656861920754,2.1363621101359582,2.252557948811484,2.1699446008556134,2.241510618955841,66,0.138972207903862
confident,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.10199007391929626
confident,0.05,0.5766251800128793,0.39324321086654945,0.010430206789501448,0.9884329947875441,0.0011367984229544634,2.188674189184046,1.9484851726992471,2.6409477957114253,1.98460110937345,1.8687946664569095,2.072049142074407,1.9258647145645216,1.9105914579636198,68,0.10199007391929626
confident,0.1,0.5698160578328224,0.42013654176501847,0.020849409712641716,0.9784005055305021,0.0007500847568562718,2.322299822452046,2.0359117908244984,2.7985036923514057,2.093476607382537,1.955005440751712,2.242847271707626,2.0461398631945364,1.9791846443763883,68,0.10199007391929626
confident,0.2,0.5593142449958488,0.4673079296167679,0.0851069818095377,0.9144432674766695,0.0004497507137928854,2.3753518135869185,2.0309034564587685,2.7858048060454244,2.036955677359007,1.9377907340021845,2.354886700617765,2.157822826707596,1.962863252296647,62,0.10199007391929626
confident,0.4,0.5488957428916372,0.5538513143765432,0.5506282258169954,0.4487878598762988,0.0005839143067057429,1.9823656379352657,1.8587912077555686,2.329101307456584,1.7726718512732138,1.6247840933403017,1.6892642944322391,2.059651672649557,1.8648042679506052,79,0.10199007391929626
agape,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.08305710554122925
agape,0.05,0.6050025385459363,0.3859038572963923,1.0554166036320788e-05,0.9978915281413724,0.0020979176925911844,2.056751456462616,1.8612885708015672,2.5263865529119003,1.8005657201691052,1.736363022172576,1.9255494961754076,1.834216423499888,1.8368245016574103,68,0.08305710554122925
agape,0.1,0.6211424998416631,0.40668814270507564,3.18040562078628e-05,0.9971772244179709,0.0027909715258212365,2.11177521771862,1.8910376404251799,2.631532224084394,1.8012715936460466,1.766283776990719,2.00716546582284,1.9147200143432577,1.8397451717199258,61,0.08305710554122925
agape,0.2,0.6383393914383781,0.44319063826551147,0.00040117943380995344,0.9912777863504841,0.008321034215705913,2.1732361318720463,1.943976062721969,2.6198957922244066,1.8478995477590923,1.8047165648570314,2.125278949855028,2.184571630153827,1.8003576749445076,56,0.08305710554122925
agape,0.4,0.6438395752538577,0.509823636086618,0.06552697493675494,0.871764609730813,0.06270841533243215,2.4044600644369365,2.4095691969556126,2.49469702546643,2.4333486056140554,2.222216080321103,2.392455124197635,2.5958202422394216,2.5206422350265774,74,0.08305710554122925
