model,constructor,ema_error,ema_v,ema_a,word_layer,arg_layer,deep_layer,cal_argmax_error,cal_argmax_v,cal_argmax_a,cal_deep_error,cal_deep_v,cal_deep_a
llama1b,valley,0.21869284265509137,0.4350989218625394,0.5594526690900425,10,15,16,0.19645052740292965,0.641796585816956,0.4037208271042731,0.2150313924400903,0.6293606122723472,0.3859614160742233
llama1b,polygon-pca,0.2930467167199682,0.37414180553357645,0.5011130204421325,10,15,16,0.0661942231727341,0.6108083994359088,0.5466549568688294,0.0603500702957169,0.6027501514478453,0.5624555890111935
gemma2b,valley,0.1274259351094362,0.5504870994547956,0.5204101038850125,17,1,5,0.1588269499237902,0.7068157401349513,0.45168286783040923,0.16996974221643746,0.6686506273428017,0.431056614900606
gemma2b,polygon-pca,0.19346237939103644,0.4834010754433437,0.5016511790807492,17,1,5,0.13306632413389669,0.5444079380826515,0.5190249231025367,0.07598033916631831,0.5997376872017276,0.5430200750088473
gemma9b,valley,0.11093037074204572,0.5727346359189824,0.5204034506627611,14,6,38,0.12867014632896387,0.71465157832698,0.48875171922161065,0.2099075483237181,0.6905345948713973,0.39404338937075667
gemma9b,polygon-pca,0.21440099166867152,0.47006417547023094,0.4834200519844776,14,6,38,0.03439884229027605,0.6313849567059744,0.5710731869354255,0.08651740489444332,0.5859957811590815,0.5417872752722152
