model,constructor,bank_v_before,bank_a_before,bank_v_after,bank_a_after,bank_dv,bank_da,n_yes_before,n_yes_after,pa_before,pa_after,na_before,na_after,alert_before,alert_after,active_before,active_after,target_a
llama1b,valley,0.5403846153846154,0.6076923076923076,0.3821428571428571,0.5785714285714285,-0.15824175824175823,-0.02912087912087913,13,28,2.1366726352441208,2.641986975707993,2.4808068230619478,2.048001699155967,1.8508920218106817,2.3253902041685794,1.8573889249159141,2.3899879673112254,0.6
llama1b,polygon-pca,0.5403846153846154,0.6076923076923076,0.38981481481481484,0.5962962962962963,-0.15056980056980052,-0.011396011396011319,13,27,2.1366726352441208,2.511172665055489,2.4808068230619478,2.3790577402628466,1.8508920218106817,2.2830133575953875,1.8573889249159141,2.405267868808659,0.6
gemma2b,valley,0.425,0.632,0.3795454545454545,0.5381818181818182,-0.04545454545454547,-0.0938181818181818,10,22,1.9722341403777837,2.5743292076631494,1.8073744540449688,2.1719145969686973,2.001352459672581,2.2723669346130055,1.6754373913331313,2.3091381709957277,0.6
gemma2b,polygon-pca,0.425,0.632,0.4073529411764706,0.5188235294117647,-0.017647058823529405,-0.11317647058823532,10,17,1.9722341403777837,2.834937169948465,1.8073744540449688,2.115711336536853,2.001352459672581,2.5905322769591974,1.6754373913331313,2.62048318252166,0.6
gemma9b,valley,0.3559523809523809,0.5038095238095238,0.4068181818181818,0.46727272727272723,0.05086580086580089,-0.03653679653679659,21,11,3.1020681892336643,1.6758824225967424,2.5765722492422958,1.1145298514912227,3.1169707636153308,3.445956761928408,3.2986220782907516,1.302770433007685,0.6
gemma9b,polygon-pca,0.3559523809523809,0.5038095238095238,0.4041666666666666,0.5266666666666666,0.04821428571428571,0.022857142857142798,21,12,3.1020681892336643,2.1413793291201193,2.5765722492422958,1.3587256957730278,3.1169707636153308,3.4234243269322335,3.2986220782907516,2.059915354897485,0.6
