constructor,ema_ordered,ema_shuffled,ema_cost,ema_shuf_sd,ema_reversed_cost,anch_ordered,anch_shuffled,anch_cost,tail_shift
polygon-pca,0.384043784293483,0.3806752458850256,-0.003368538408457411,0.047344903813687854,0.06096938756141845,0.29532446506397436,0.3022175356885717,0.0068930706245973195,0.12627586805555557
harmonic-prime,0.38098585254546385,0.4040146416609387,0.023028789115474846,0.025360007842206322,0.0077429455911353084,0.30382339402858044,0.3076656268477724,0.0038422328191919375,0.03284895833333318
harmonic-golden,0.34083288975206233,0.37630248233101177,0.03546959257894944,0.04240470168767597,0.04077573628738079,0.293790370538775,0.31643831690822816,0.022647946369453165,0.005558159722222122
valley,0.3131069747565936,0.3562003176792758,0.04309334292268219,0.04210390762640708,0.11612817614889048,0.30186596796242116,0.30581408929287884,0.003948121330457688,0.19943819444444444
graph-walk,0.39256980470430713,0.4639531369745466,0.07138333227023946,0.03562080383702748,0.035072048653009,0.284978358751288,0.2944042701200427,0.009425911368754702,0.17644791666666687
