constructor,target,variant,kind,ema_error,anchor_error,passage_error,ema_v,ema_a,anchor_v,anchor_a,passage_v,passage_a,tail_v,tail_a,target_v,target_a
valley,focused,shuffle2,shuffled,0.26510445675936,0.20788940693445346,0.16813928291834834,0.4303511917303947,0.4515588533478081,0.5209463543524676,0.4370179087732645,0.6472985409255754,0.43188242037441293,0.68825,0.31995833333333334,0.65,0.6
valley,focused,shuffle3,shuffled,0.2740567063262467,0.18620934572128336,0.2033510117827495,0.45764354544289615,0.4047922320382423,0.6066886489951026,0.4188976882862093,0.6906068269378969,0.4007445870268423,0.6528375,0.3482,0.65,0.6
valley,focused,shuffle4,shuffled,0.1965251514849249,0.1861389232795961,0.22148685867729348,0.48256331395382723,0.4971064077211411,0.5819098481618845,0.42676192686839953,0.685202428731492,0.3813285167696994,0.6639541666666667,0.4452583333333333,0.65,0.6
valley,focused,shuffle5,shuffled,0.15774430825095814,0.1704723288820395,0.1448525886426043,0.49904183703551036,0.5542299244051325,0.5964767769029837,0.43814797034397973,0.6777402414823442,0.45782844363599035,0.6720999999999999,0.5017500000000001,0.65,0.6
valley,focused,shuffle6,shuffled,0.26237440513713944,0.16744039248703868,0.17530008339253414,0.4236498898218101,0.4673125624130563,0.5943523203779978,0.442077168246955,0.680872487867765,0.4274398402577115,0.6564833333333333,0.38011666666666666,0.65,0.6
valley,focused,shuffle7,shuffled,0.17046816126839787,0.19172739967216934,0.17558717353181014,0.48921012516631895,0.5433783596387594,0.5754181358204047,0.4233734410668991,0.6951694875771067,0.4303221496455368,0.6351,0.505475,0.65,0.6
valley,focused,reversed,reversed,0.3211673070921598,0.19759948151442278,0.2352619260644089,0.44601044277599505,0.35193408196936027,0.5961934880946592,0.4098673768882648,0.6619401798085307,0.3650412675347533,0.75045,0.20100833333333334,0.65,0.6
valley,excited,ordered,ordered,0.4222497378568996,0.45936017538534457,0.36918171260931965,0.49770308700932075,0.5551925755403604,0.625990238648563,0.42487369678591935,0.6992479227257703,0.4948322145097082,0.8429166666666668,0.7955,0.8,0.85
valley,excited,shuffle0,shuffled,0.4810420985811032,0.46585805286986304,0.4350226594777028,0.5492666694306784,0.43947071048593,0.5845889299401296,0.43693608688320196,0.6719392569353715,0.43425349027948706,0.74565,0.3090333333333334,0.8,0.85
valley,excited,shuffle1,shuffled,0.5322220751688642,0.47980440292855747,0.468263835460461,0.4560579005300524,0.44384218644810386,0.5772538776003902,0.4250336130638476,0.6621221232484429,0.40249501600247606,0.7960833333333334,0.51225,0.8,0.85
valley,excited,shuffle2,shuffled,0.5473332063331942,0.4743087224996,0.43102751533042105,0.39647324535890605,0.48021655385374373,0.5597580132613986,0.4410347789272391,0.6437900226379274,0.44827476810081107,0.72825,0.38708333333333333,0.8,0.85
valley,excited,shuffle3,shuffled,0.4909721243525143,0.45553960593765336,0.4340963936400665,0.5090628446089668,0.4545139717964811,0.5899955121555718,0.4457544710661206,0.6592640312540083,0.43935043397997015,0.70035,0.426975,0.8,0.85
valley,excited,shuffle4,shuffled,0.4937303347053718,0.45371317957990653,0.42915065719119616,0.43963825108176424,0.5124958469516725,0.5857256112602071,0.4500723369724262,0.6965883440266548,0.4334951189043686,0.7453666666666666,0.5834416666666666,0.8,0.85
valley,excited,shuffle5,shuffled,0.4490038938139282,0.44218654406657143,0.3659478700719644,0.47050771069517244,0.5449765124638217,0.6318070576281956,0.44105003498000783,0.7110834274521884,0.49501875157051306,0.7922083333333334,0.6362083333333333,0.8,0.85
valley,excited,shuffle6,shuffled,0.5502651777797097,0.4755113741177936,0.39103180519789116,0.406736630979495,0.4651160064856195,0.5805908137362288,0.42813429163007094,0.6806598181897969,0.47762412312042934,0.718275,0.472325,0.8,0.85
valley,excited,shuffle7,shuffled,0.42473755994995277,0.4618568985788445,0.4379156886716853,0.48217403890332455,0.5682400786392532,0.5909231592702189,0.43817640981201333,0.7100326627269267,0.42142558568109845,0.7450833333333334,0.6596666666666666,0.8,0.85
valley,excited,reversed,reversed,0.6107439192347003,0.48191258639449136,0.4863809244050963,0.44679555693842304,0.35174830027011106,0.6065968757105012,0.4085988531500073,0.6758623685477978,0.37972747041466137,0.75045,0.20100833333333334,0.8,0.85
harmonic-golden,calm,ordered,ordered,0.339528695186654,0.2746381210791704,0.21123896626207342,0.47320668533418453,0.3966346760148441,0.5792394186307546,0.41509746953493987,0.549637856876344,0.2669097337490218,0.6921875000000001,0.22358333333333333,0.75,0.2
harmonic-golden,calm,shuffle0,shuffled,0.4767616771610933,0.3151288451137185,0.17512911051999364,0.35710697749845755,0.47006808341427725,0.5615633800700758,0.45258232181229807,0.6008992838770704,0.291865019475063,0.690375,0.375125,0.75,0.2
harmonic-golden,calm,shuffle1,shuffled,0.389120978874202,0.32420450199875733,0.23859625668317685,0.4638148863465881,0.46365359266128137,0.5440276519803044,0.45036763162900206,0.5353215256242223,0.304121690069423,0.6928125,0.342375,0.75,0.2
harmonic-golden,calm,shuffle2,shuffled,0.39147477337369513,0.3232090075410261,0.23792620249202276,0.4623958429017577,0.4655867975028043,0.5502545178212603,0.45409802223716317,0.5948158194714188,0.3803517339698949,0.7345,0.38875,0.75,0.2
harmonic-golden,calm,shuffle3,shuffled,0.4213175464495969,0.29597699372830993,0.21217233032477242,0.4343688952797146,0.4790797030945828,0.5781419697156531,0.4409713639485666,0.5757395064241815,0.32103874641682495,0.7341666666666666,0.4507083333333334,0.75,0.2
harmonic-golden,calm,shuffle4,shuffled,0.3845608830422034,0.3005090681336757,0.21153310907284653,0.45020891320673284,0.440857586647195,0.5576558250909172,0.4308883245404893,0.5595408526961123,0.29204112907988905,0.6523749999999999,0.35983333333333334,0.75,0.2
harmonic-golden,calm,shuffle5,shuffled,0.34505657253144617,0.31713053880191,0.18892503997489418,0.4813379030605292,0.4165287877286426,0.5416450923614899,0.43908159925794726,0.5889552636144754,0.29877886217218863,0.6590833333333334,0.3288333333333333,0.75,0.2
harmonic-golden,calm,shuffle6,shuffled,0.4323514892714196,0.2931566934567479,0.22291339953976227,0.4000183874685532,0.45385169127879116,0.5715559796090232,0.4325910112304392,0.5664918105713143,0.3265508913717295,0.7501249999999999,0.46958333333333335,0.75,0.2
