target,start_dist,start_over_resid,single_tok_floor_ratio,beam_ratio,beam_closed
inject-rand0,1.6140723831144612,0.21313824763153502,1.0609835381069577,1.0,0.0
inject-rand1,1.5510286546337886,0.2048133236980735,1.0605988525801038,1.0,0.0
inject-valence,1.6932929783240944,0.22359932671073207,1.0395936965507186,1.0,0.0
inject-pc1,2.482699975624858,0.3278405155402575,1.018152651957224,1.0,0.0
text0,3.2237595444543676,0.4256974267564268,0.9018900512820957,0.7138445558656865,0.2861554441343135
text1,3.134271985161685,0.4138805951372262,0.9018558367045876,0.7533281925003679,0.24667180749963213
