condition,probe_alleviation,panas_na_alleviation,panas_pa_post,pos_share_alleviation,sae_reversal_share
neutral/none,0.06353863908067164,-0.6197600073712901,1.8350122376963007,0.5254440298590056,0.05029630288481712
shuffled:valley/psg,0.04326924198347881,-0.013428063360980458,1.7527343633453605,0.47741702198548513,0.11654379963874817
valley/psg,0.03857789404695844,-0.029098146193058172,1.6117094034702606,0.4459380364032067,0.07395222038030624
polygon-pca/psg,0.037563425615740165,-0.12233936847852456,1.5332980128350244,0.07329456373351147,0.06175053492188454
graph-walk/psg,0.03135258003942809,-0.05909433043849366,1.5578135651140124,0.1969917416390925,0.053651608526706696
via-negativa/psg,0.02031691604986513,-0.06525650442895814,1.5524703864328235,0.14555159457329298,0.07700192928314209
harmonic-organic/psg,0.020151282736805776,-0.15586996961083877,1.7099104118785402,0.22247578661745293,0.07697733491659164
harmonic-golden/gregory,0.017211391745561577,-0.09502735786509331,1.5880823003215594,0.1372079994732322,0.07647449523210526
harmonic-golden/psg,0.015074439552883678,-0.16497101985621998,1.6378167949660587,0.21188344046200402,0.06321631371974945
harmonic-prime/psg,0.012705960734060329,-0.15400352173552312,1.6363880895132668,0.20249561947170508,0.07447253167629242
valley/gregory,0.011570727042519824,-0.056970660227651626,1.6458831994931664,0.19546624429754939,0.06944369524717331
