id,constructor,generator,target,length,intensity,style,placement_error,displacement,adherence,stability,basq_displacement,low_freq_fraction,spectral_centroid,path_dirichlet,mismatch_placement_error,nv_ratio,and_initial_per_1000,then_per_1000,subordinator_per_1000,noun_shen,noun_apen,cv_line_len
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,psg,focused,medium,plain,unfiltered,0.21819814669011023,-0.011134569181681847,0.21169241163467337,0.01887340202218969,-0.15882795998633542,0.11395945552093012,0.27468185921831456,0.0028539084430626877,,0.43478260869565216,8.849557522123893,0.0,53.097345132743364,2.0,-0.4054651081081645,0.2841521125310146
valley-psg-focused-b6b50cae,valley,psg,focused,medium,plain,unfiltered,0.21860780026497065,-0.07941165296373609,0.23842415312876378,0.03099327161411239,-0.15882795998633542,0.2479994825093437,0.2591957573791115,0.0005264027056504369,,0.6455696202531646,13.157894736842104,0.0,6.578947368421052,1.9182958340544896,-0.2231435513142097,0.2977291710259148
harmonic-organic-psg-focused-42779d0f,harmonic-organic,psg,focused,medium,plain,unfiltered,0.24906003346596556,-0.041996455957537177,0.2270182280170708,0.020457025366617143,-0.15882795998633542,0.1409847436328744,0.27109881838797234,0.0024477512802479956,,0.5116279069767442,8.928571428571429,0.0,62.5,1.5,-0.4054651081081645,0.2812145669289932
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,psg,focused,medium,plain,unfiltered,0.2599937890750757,-0.05293021156664732,0.21835608734481463,0.028322556335283758,-0.15882795998633542,0.12556544682900417,0.2737116689617344,0.0028581395700263998,,0.4418604651162791,9.090909090909092,0.0,54.54545454545455,2.0,-0.4054651081081645,0.28805417305008835
graph-walk-psg-focused-13e19175,graph-walk,psg,focused,medium,plain,unfiltered,0.27171233916439286,-0.052260409312231054,0.2178094419078812,0.028926217383418572,-0.15882795998633542,0.3563503195617583,0.2248162347462862,0.0001422400778828606,,0.38596491228070173,10.638297872340425,21.27659574468085,53.191489361702125,2.2359263506290326,-0.18232155679395445,0.20072300280971497
valley-psg-calm-da07eb5e,valley,psg,calm,medium,plain,abstract,0.27834171798030954,-0.15617409761766415,0.2566145995574548,0.02119435710784024,-0.049555917022921114,0.20627548593528902,0.2741948605945549,0.0014828540659139427,0.5435644695301005,0.696969696969697,15.037593984962406,0.0,7.518796992481203,1.3709505944546687,-0.2876820724517808,0.25508564592011085
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,psg,focused,medium,plain,unfiltered,0.29284865741497795,-0.07339672756281615,0.1787256902605655,0.046396165606134375,-0.15032658605991217,0.14950679034740696,0.26646614066859897,0.000910909741627079,,0.6666666666666666,6.410256410256411,6.410256410256411,51.282051282051285,1.9182958340544896,-0.2231435513142097,0.23076923076923078
valley-psg-calm-05f538f2,valley,psg,calm,short,plain,unfiltered,0.29438896063131426,-0.006265027938752221,0.2897084078146149,0.0127921895814175,-0.0694360974655342,0.23117505026258905,0.2647500564448229,0.0021584069368756798,0.5561166843211139,0.6111111111111112,0.0,0.0,0.0,-0.0,,0.3227486121839514
valley-psg-calm-0379d965,valley,psg,calm,medium,heightened,unfiltered,0.2982174123144021,-0.010091296021592089,0.30301378614696023,0.014661713082259656,-0.05247431058816249,0.1301623345764172,0.2837849427521245,0.0017285074572651103,0.5682228561018072,0.7333333333333333,16.0,0.0,0.0,1.3709505944546687,-0.2876820724517808,0.271411127258998
valley-psg-calm-0379d965,valley,psg,calm,medium,plain,unfiltered,0.2982174123144021,-0.010091296021592089,0.30301378614696023,0.014661713082259656,-0.05247431058816249,0.1301623345764172,0.2837849427521245,0.0017285074572651103,0.5682228561018072,0.7333333333333333,16.0,0.0,0.0,1.3709505944546687,-0.2876820724517808,0.271411127258998
