family,complexity,target,seed,placement_error,displacement,path_dirichlet,low_freq_fraction,spectral_centroid
harmonic-k,1,calm,42,0.35815432361914007,-0.1429386787402358,0.0023373403123106637,0.16679851535747275,0.27283816021555385
harmonic-k,1,calm,43,0.35815432361914007,-0.1429386787402358,0.0023373403123106637,0.16679851535747275,0.27283816021555385
harmonic-k,1,excited,42,0.4754917519412578,0.004043844150959652,0.0017943112974134758,0.2352803576969051,0.25503518734254516
harmonic-k,1,excited,43,0.4754917519412578,0.004043844150959652,0.0017943112974134758,0.2352803576969051,0.25503518734254516
harmonic-k,2,calm,42,0.3618637576752771,-0.14664811279637285,0.0022282535105175626,0.17001243908353156,0.2721311390581846
harmonic-k,2,calm,43,0.3618637576752771,-0.14664811279637285,0.0022282535105175626,0.17001243908353156,0.2721311390581846
harmonic-k,2,excited,42,0.4752052886198201,0.004330307472397377,0.0012887393734036677,0.24156584785063398,0.25305913080691533
harmonic-k,2,excited,43,0.4752052886198201,0.004330307472397377,0.0012887393734036677,0.24156584785063398,0.25305913080691533
harmonic-k,3,calm,42,0.3547544209784315,-0.13953877609952725,0.0019935584128129027,0.17458262338177968,0.2716159047011291
harmonic-k,3,calm,43,0.3547544209784315,-0.13953877609952725,0.0019935584128129027,0.17458262338177968,0.2716159047011291
harmonic-k,3,excited,42,0.47313421621438556,0.006401379877831903,0.001138971579861605,0.2445973461060998,0.25245924358889826
harmonic-k,3,excited,43,0.47313421621438556,0.006401379877831903,0.001138971579861605,0.2445973461060998,0.25245924358889826
harmonic-k,4,calm,42,0.36414557108866824,-0.14892992620976397,0.0018453952390435106,0.16870450991807584,0.27269715881768786
harmonic-k,4,calm,43,0.36414557108866824,-0.14892992620976397,0.0018453952390435106,0.16870450991807584,0.27269715881768786
harmonic-k,4,excited,42,0.4823945891277392,-0.0028589930355217286,0.0011698456490059613,0.24459734610609973,0.25245924358889826
harmonic-k,4,excited,43,0.4823945891277392,-0.0028589930355217286,0.0011698456490059613,0.24459734610609973,0.25245924358889826
harmonic-k,6,calm,42,0.3394997966727646,-0.12428415179386032,0.0020027487840126685,0.17630429739663894,0.2709483057003317
harmonic-k,6,calm,43,0.3394997966727646,-0.12428415179386032,0.0020027487840126685,0.17630429739663894,0.2709483057003317
harmonic-k,6,excited,42,0.46496019374726144,0.014575402344956023,0.0013054581407550695,0.23896843478537777,0.25339710690268813
harmonic-k,6,excited,43,0.46496019374726144,0.014575402344956023,0.0013054581407550695,0.23896843478537777,0.25339710690268813
valley-s,0,calm,42,0.3189543726779879,-0.030828256385177888,0.0017416351406506737,0.21306715444945518,0.27331379782921794
valley-s,0,calm,43,0.3189543726779879,-0.030828256385177888,0.0017416351406506737,0.21306715444945518,0.27331379782921794
valley-s,0,excited,42,0.42515603109231004,0.13661953946184968,0.0008401011050947258,0.32160138548876305,0.25907597869075527
valley-s,0,excited,43,0.42515603109231004,0.13661953946184968,0.0008401011050947258,0.32160138548876305,0.25907597869075527
valley-s,2,calm,42,0.3129634312509075,-0.02483731495809749,0.0020786646644938254,0.20026922927398372,0.2695970911674847
valley-s,2,calm,43,0.3129634312509075,-0.02483731495809749,0.0020786646644938254,0.20026922927398372,0.2695970911674847
valley-s,2,excited,42,0.44276330088183585,-0.019517227015135696,0.001014105063567548,0.11513220682921234,0.27109204974261614
valley-s,2,excited,43,0.44276330088183585,-0.019517227015135696,0.001014105063567548,0.11513220682921234,0.27109204974261614
valley-s,4,calm,42,0.2945662425980861,-0.006440126305276128,0.0019376787554214669,0.1589526469269875,0.2781515192445888
valley-s,4,calm,43,0.2945662425980861,-0.006440126305276128,0.0019376787554214669,0.1589526469269875,0.2781515192445888
valley-s,4,excited,42,0.3937686320205762,0.029477441846123942,0.0010737776100954062,0.11833572649268562,0.28224721610387904
valley-s,4,excited,43,0.3937686320205762,0.029477441846123942,0.0010737776100954062,0.11833572649268562,0.28224721610387904
valley-s,6,calm,42,0.2953574709915182,-0.0072313546987082256,0.0019249630657492596,0.1321086732724007,0.28278170950163595
valley-s,6,calm,43,0.2953574709915182,-0.0072313546987082256,0.0019249630657492596,0.1321086732724007,0.28278170950163595
valley-s,6,excited,42,0.4143345009218254,0.008911572944874768,0.0008380329792886907,0.3370916867663733,0.25507081987028757
valley-s,6,excited,43,0.4143345009218254,0.008911572944874768,0.0008380329792886907,0.3370916867663733,0.25507081987028757
