state,alpha_frac,probe_v,probe_a,state_share,calm_share,neg_share,panas_pa,panas_na,excited,inspired,determined,proud,strong,nervous,n_sae_active
eros,0.0,0.5857781746918118,0.36348995695810077,0.0010479262304538056,0.9969823725366223,0.001969701232923722,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74
eros,0.05,0.5857781746918118,0.36348995695810077,0.0023227277468066587,0.9955223427047613,0.002154929548432,2.0139054271078685,1.8189996496023102,2.3807407909805987,1.7772918586861999,1.7318248108975074,1.8816267221143197,1.770377426417283,1.8010255107371846,71
eros,0.1,0.5857781746918118,0.36348995695810077,0.0051636007240911785,0.9923762388120737,0.0024601604638351234,2.024860567754938,1.826676650619428,2.3358590802883716,1.7417331953298933,1.7497982818921163,1.9097729584065828,1.7790509607360074,1.798121060968017,65
eros,0.2,0.5857781746918118,0.36348995695810077,0.020985803900427268,0.9761121784939351,0.002902017605637651,1.9399955957587482,1.8150985271761084,2.091127067048719,1.6328115793278513,1.7470244036032172,1.8988307480862925,1.7758132723403541,1.7891770818992394,58
eros,0.4,0.5857781746918118,0.36348995695810077,0.10331480978376316,0.8925430498682092,0.004142140348027678,1.6919708011197971,1.6937339775398854,1.6857722311589813,1.6281030777214527,1.5233145755529647,1.5217387951799564,1.6396470738472118,1.7769667160865321,67
creativity,0.0,0.5857781746918118,0.36348995695810077,0.0010479262304538056,0.9969823725366223,0.001969701232923722,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74
creativity,0.05,0.5857781746918118,0.36348995695810077,0.0003100515015489981,0.9982368297142671,0.0014531187841839632,1.914887022140407,1.7591852057277955,2.285748159629284,1.690494597577843,1.6648917067979774,1.8062701888448496,1.6690676610099549,1.7617360358701548,72
creativity,0.1,0.5857781746918118,0.36348995695810077,0.0004824292645140761,0.9984082704646284,0.001109300270857575,1.881193907016927,1.7327354612652321,2.2000661921306564,1.6165660979894625,1.6378412299302056,1.811304571717056,1.6209056766979,1.755193024337778,73
creativity,0.2,0.5857781746918118,0.36348995695810077,0.0011748223442109359,0.9980058030287521,0.0008193746270369984,1.9022030127821137,1.7742821656010697,2.0733418924537186,1.5969007078996857,1.669565545048454,1.9291643431822743,1.6655759164456083,1.8404799338054145,64
creativity,0.4,0.5857781746918118,0.36348995695810077,0.014866548578463831,0.9804589298927258,0.004674521528810237,2.1223506190293486,2.084083252171746,2.1081015783842876,1.9137056234084424,1.9357702462228903,2.184914058209767,2.012464702332787,2.0431260137793674,70
imaginative,0.0,0.5857781746918118,0.36348995695810077,0.0010479262304538056,0.9969823725366223,0.001969701232923722,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74
imaginative,0.05,0.5857781746918118,0.36348995695810077,0.00011504610872916883,0.9983119504774202,0.0015730034138506431,2.090021701870119,1.8247328654622748,2.531442784730075,1.845276675718805,1.7704090634193337,1.9346254902292408,1.8024869288899015,1.7719818416959998,71
imaginative,0.1,0.5857781746918118,0.36348995695810077,0.0003177073817029992,0.9983576082001725,0.0013246844181245693,2.228218034479417,1.8591595883648488,2.672597720456271,1.9180530123615884,1.8792398128251164,2.059018101202102,1.8961773387639909,1.7528023325140096,70
imaginative,0.2,0.5857781746918118,0.36348995695810077,0.001497176953513139,0.9973622370315889,0.0011405860148981095,2.517577819623758,2.029490753482998,2.855694909432419,2.050901022389298,2.1635034595012286,2.4666630925938806,2.265035749017748,1.755784479667734,70
imaginative,0.4,0.5857781746918118,0.36348995695810077,0.008796753002537128,0.9880604330775783,0.003142813919884425,1.8304426963143157,1.6437038984892816,2.06208509778929,1.4506179364270477,1.7049621480890866,1.9452501497525105,1.9649515107398265,1.4722676650640372,84
determined,0.0,0.5857781746918118,0.36348995695810077,0.0010479262304538056,0.9969823725366223,0.001969701232923722,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74
determined,0.05,0.5857781746918118,0.36348995695810077,0.00028750965938577035,0.9980504898149776,0.0016620005256367352,2.0586801767099385,1.849067523862789,2.423587124766648,1.8305962813907408,1.7591125548483149,1.915227898709151,1.7852412646078077,1.8156673902142082,69
determined,0.1,0.5857781746918118,0.36348995695810077,0.0008758819752572926,0.9976615951830007,0.0014625228417421115,2.147618677096237,1.8942924810481252,2.4705421123101363,1.8844320623360564,1.8363583183513925,2.0015911110539117,1.8216660398153486,1.829664299953194,67
determined,0.2,0.5857781746918118,0.36348995695810077,0.010568922626931043,0.9879108633405603,0.0015202140325085518,2.2794440562261142,1.9846556355603078,2.4964608713163736,1.9886624444716192,2.005036024398658,2.2050987710438887,1.9529779627820865,1.8902224507589467,60
determined,0.4,0.5857781746918118,0.36348995695810077,0.38466926929885303,0.6086413427038003,0.006689387997346742,2.0048434904151207,1.9368079633069026,2.13739489739635,1.9155062703195664,1.9189554176734547,2.0252629390260815,2.00105400162854,1.9707869749087013,76
confident,0.0,0.5857781746918118,0.36348995695810077,0.0010479262304538056,0.9969823725366223,0.001969701232923722,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74
confident,0.05,0.5857781746918118,0.36348995695810077,0.009187950894993514,0.9895466458410322,0.0012654032639741893,2.145461611354445,1.920065480544033,2.5372506967472157,1.9345674011153375,1.84027026811988,1.9885304386139286,1.888335595256509,1.8740250702183388,71
confident,0.1,0.5857781746918118,0.36348995695810077,0.0158041031294898,0.9833232091043527,0.0008726877661575378,2.270332941423454,2.008923442110594,2.6392459295233217,2.044185727036141,1.947667369727728,2.117563513690735,1.9837771083044262,1.922891701013826,66
confident,0.2,0.5857781746918118,0.36348995695810077,0.05156790507285537,0.9479072952322225,0.0005247996949220525,2.3157062617481534,2.038625862710324,2.617766959503819,2.0910654229052894,2.015059734879668,2.2309761313949226,2.0640760475207722,1.932839344799163,67
confident,0.4,0.5857781746918118,0.36348995695810077,0.3704763749539604,0.6286874495886452,0.0008361754573942521,2.0402199606024327,1.8069050999185756,2.5615598545982916,1.9682149199710937,1.8776151183853846,1.9356055829151795,2.0289028584637085,1.9407539987543103,88
agape,0.0,0.5857781746918118,0.36348995695810077,0.0010479262304538056,0.9969823725366223,0.001969701232923722,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74
agape,0.05,0.5857781746918118,0.36348995695810077,8.270528191968635e-06,0.9980998828414019,0.0018918466304058894,2.1021446468044256,1.894260502396218,2.5119089260295238,1.863137155870454,1.7913187214534654,1.960677974921541,1.8813258023342352,1.8726634667621276,68
agape,0.1,0.5857781746918118,0.36348995695810077,2.0408635723373315e-05,0.9979597959351852,0.002019795429091351,2.2134702345473123,1.9771574421899167,2.6152580060996176,1.9476908049241142,1.8844340190370794,2.072218615523698,2.037920460170959,1.934369308525659,65
agape,0.2,0.5857781746918118,0.36348995695810077,0.0001745416245296756,0.9966367354009218,0.003188722974548651,2.3023930426590367,2.094317028537629,2.669508071386635,2.1171819244831442,2.0495279021686836,2.258552892580396,2.2794830710868657,2.0233242078012106,56
agape,0.4,0.5857781746918118,0.36348995695810077,0.012845481340062906,0.9650932225999197,0.022061296060017253,2.2519292463488574,2.188178021774817,2.4387601475727925,2.340398229276791,2.200153148437672,2.361808078023742,2.3901547817050357,2.194790356476844,73
