target,start_dist,start_over_resid,soft_ratio,soft_closed,emb_drift_over_std
inject-rand0,1.6140723831144612,0.21313824763153502,0.08427003330881382,0.9157299666911862,923.751593625498
inject-rand1,1.5510286546337886,0.2048133236980735,0.07786547755528361,0.9221345224447164,959.3964143426294
inject-valence,1.6932929783240944,0.22359932671073207,0.08603685252294227,0.9139631474770578,972.5455179282868
inject-pc1,2.482699975624858,0.3278405155402575,0.05244082216638759,0.9475591778336124,1017.8472111553784
text0,3.2237595444543676,0.4256974267564268,0.02161668249291838,0.9783833175070816,854.6408366533865
text1,3.134271985161685,0.4138805951372262,0.02171782477359252,0.9782821752264075,834.1573705179283
