shape,angle_deg,target,seed,placement_error,displacement,path_dirichlet
octagon,45.0,calm,42,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
octagon,45.0,calm,43,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
octagon,45.0,excited,42,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
octagon,45.0,excited,43,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
pentagon,72.0,calm,42,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
pentagon,72.0,calm,43,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
pentagon,72.0,excited,42,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
pentagon,72.0,excited,43,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
triangle,120.0,calm,42,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
triangle,120.0,calm,43,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
triangle,120.0,excited,42,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
triangle,120.0,excited,43,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
octagram,135.0,calm,42,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
octagram,135.0,calm,43,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
octagram,135.0,excited,42,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
octagram,135.0,excited,43,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
pentagram,144.0,calm,42,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
pentagram,144.0,calm,43,0.3379242348196031,-0.05086944432297619,0.0015504993998194051
pentagram,144.0,excited,42,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
pentagram,144.0,excited,43,0.5207913141943621,-0.010039908448405854,0.0006788553551019641
