state,alpha_frac,probe_v,probe_a,state_share,calm_share,neg_share,panas_pa,panas_na,excited,inspired,determined,proud,strong,nervous,n_sae_active,in_plane_frac
eros,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.1931878924369812
eros,0.05,0.40016756116659113,0.6253116017111251,5.6242379262622645e-05,0.9977480788994764,0.002195678721261082,1.7127440760670183,1.5460350652300645,1.9929665955528928,1.5241073712656426,1.4435289818881505,1.5275807799268923,1.46040170836632,1.5429754747515692,72,0.1931878924369812
eros,0.1,0.203459831670591,0.8912649848140066,9.990920752577191e-05,0.997318338158295,0.0025817526341794165,1.5965364320261877,1.417721470321611,1.765369109976557,1.4274724797501186,1.3263969248252785,1.377183835181658,1.3548227490210774,1.4056139529076932,69,0.1931878924369812
eros,0.2,-0.1981487111178014,1.427363507395865,0.0002513289813599537,0.9960417352219012,0.00370693579673911,1.7016961133966935,1.4322336579347492,1.7175736160552284,1.5289974836510096,1.3414916469050988,1.396762068852236,1.4562001108120501,1.3522928747482212,67,0.1931878924369812
eros,0.4,-0.9627034685836907,2.5081794449611325,0.0007543549171970768,0.9930959783605132,0.006149666722289587,1.556458675786799,1.338337831642707,1.4554652510049806,1.5309689940262388,1.4191678078542431,1.4693381205930804,1.6240351406452815,1.2313495657471951,67,0.1931878924369812
creativity,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.14198090136051178
creativity,0.05,0.6773603476145832,0.6222606747225173,0.00033947402108639265,0.9974333878937944,0.0022271380851194103,1.8198908834054162,1.6171527064207567,2.1351618247359325,1.6238363907506725,1.5313843509630973,1.6534002820575744,1.528604812320765,1.58079029350611,73,0.14198090136051178
creativity,0.1,0.7638242338558177,0.8858962852699117,0.0006115531936021597,0.9964575834104455,0.002930863395952109,1.7989310770768874,1.5466865514022496,2.023980153687485,1.6162406522809833,1.4779883554781943,1.5968367191451796,1.4834844578573438,1.4720992551521033,70,0.14198090136051178
creativity,0.2,0.9308879694219314,1.421704751330168,0.001916004267519572,0.9912625178700717,0.006821477862408805,2.046389904331246,1.6782067236803617,2.086091780081235,1.9106762797596935,1.613887276316393,1.788825281611994,1.7387401857924822,1.4671638706283787,68,0.14198090136051178
creativity,0.4,1.296536556434655,2.514245072877521,0.007257226741428064,0.9673646265612589,0.025378146697312875,1.6810599779411706,1.5257154582173136,1.6787831004834366,1.5795254104188052,1.4049469374523582,1.5573075972358192,1.8188059135894856,1.3024162816246185,74,0.14198090136051178
imaginative,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.14470186829566956
imaginative,0.05,0.7072290276754276,0.6188383882793721,4.6267581726998274e-05,0.9977354449737968,0.0022182874444761744,1.834718933058981,1.6298391548887516,2.1543984076898703,1.6383614717188557,1.5444819605255946,1.6661553000720088,1.5412408387432903,1.5914715381258007,72,0.14470186829566956
imaginative,0.1,0.8247583752611567,0.8790500792351423,7.510042152332189e-05,0.9969702611631012,0.0029546384153753915,1.8289548786287835,1.5674329530366675,2.063916452593776,1.6394434689361856,1.5079262351231706,1.6351776533431122,1.49943426654988,1.490368898431106,70,0.14470186829566956
imaginative,0.2,1.0563468005756858,1.4082852433878736,0.00029794114817643876,0.9923848234275808,0.007317235424242796,2.112867633308894,1.7294461617343508,2.163021816162403,1.9847130011389305,1.6869584273375615,1.8591380226410923,1.792891557825282,1.4980037008332734,67,0.14470186829566956
imaginative,0.4,1.555976853327525,2.4886001097696644,0.0016182035066396254,0.9686108217892534,0.02977097470410711,1.7671506185157508,1.607949201213439,1.7788552446227248,1.6306893058415832,1.454313051056561,1.6106666883271656,1.9229568262623857,1.344329334042388,74,0.14470186829566956
determined,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.138972207903862
determined,0.05,0.4561982807189874,0.6289048798262726,0.00021366742277511392,0.9975846971611029,0.0022016354161219485,1.728550256584673,1.5575643640419514,2.004161944979935,1.543385403667699,1.4575465692618108,1.5456059253148067,1.4704986735949523,1.549386889043566,72,0.138972207903862
determined,0.1,0.31575704875962685,0.8987358754217426,0.00038391383083334493,0.9969827188807253,0.002633367288441188,1.6277817296933814,1.4357314500871843,1.7979444748148674,1.460346343632716,1.3465650697700604,1.4084768174058224,1.3743516611921822,1.4133726255355896,70,0.138972207903862
determined,0.2,0.02424250022722052,1.4437018747903017,0.0008088756005923076,0.9951457790575965,0.004045345341811428,1.7445449528977328,1.4577210747662477,1.7603181961735197,1.5861770291264277,1.3745787532500189,1.4418662251820906,1.4912884393014292,1.3609000569090925,66,0.138972207903862
determined,0.4,-0.5287281616112088,2.545610986888026,0.0022355646466206474,0.9900299480655044,0.007734487287875019,1.518891362664987,1.3337267547215963,1.4451887157261987,1.494587214218822,1.3791089820709475,1.445025613592538,1.5969381548078596,1.2176285370279347,66,0.138972207903862
confident,0.0,0.5857781746918118,0.36348995695810077,3.191722518463756e-05,0.9979963782083554,0.001971704566459823,1.9748456839267061,1.8104056066437368,2.377441214929668,1.7879670365997749,1.705197877823857,1.8487091864798701,1.760721299453571,1.7999894602113358,74,0.10199007391929626
confident,0.05,0.6405440299188603,0.6255197377741586,0.007538272812486171,0.9902414625615474,0.0022202646259664883,1.8016311490223138,1.606088570094164,2.106777430669022,1.6024436952022596,1.5163741239359023,1.6268549303911843,1.5174449927093265,1.574167305742543,72,0.10199007391929626
confident,0.1,0.6890287884797688,0.8925008898513869,0.012909022979092034,0.9842470538128657,0.002843923208042258,1.7616506561658714,1.5221544912374352,1.9758709953389708,1.5777179274314115,1.4458255650002583,1.5511248338101806,1.4555648664989342,1.4566935640936305,70,0.10199007391929626
confident,0.2,0.7774771991141552,1.4346222322448645,0.05764148592260064,0.9364551991233795,0.005903314954019769,1.982068561854889,1.625454128484335,2.006975961336738,1.8560078721120847,1.5622903397996553,1.7030445694131258,1.6795263461697791,1.436248419797595,67,0.10199007391929626
confident,0.4,0.9810821997492851,2.539003227190401,0.32018041887356463,0.6655046706865784,0.014314910439857156,1.6021443217970721,1.454596584042666,1.581901729067436,1.5284800694088854,1.3630858067846414,1.494723691698335,1.7240542616235182,1.262998764070685,74,0.10199007391929626
