family,complexity,target,seed,placement_error,displacement,path_dirichlet,low_freq_fraction,spectral_centroid
harmonic-k,1,calm,42,0.30866531284980747,-0.1381701571250885,0.002337340312310682,0.1667985153574714,0.27283816021555474
harmonic-k,1,calm,43,0.30866531284980747,-0.1381701571250885,0.002337340312310682,0.1667985153574714,0.27283816021555474
harmonic-k,1,excited,42,0.46199773063630456,0.03227226522528992,0.0017943112974134992,0.23528035769690214,0.2550351873425464
harmonic-k,1,excited,43,0.46199773063630456,0.03227226522528992,0.0017943112974134992,0.23528035769690214,0.2550351873425464
harmonic-k,2,calm,42,0.31037789985038505,-0.1398827441256661,0.0022282535105175756,0.17001243908353023,0.27213113905818553
harmonic-k,2,calm,43,0.31037789985038505,-0.1398827441256661,0.0022282535105175756,0.17001243908353023,0.27213113905818553
harmonic-k,2,excited,42,0.4594842203776007,0.03478577548399375,0.0012887393734036955,0.24156584785063037,0.2530591308069168
harmonic-k,2,excited,43,0.4594842203776007,0.03478577548399375,0.0012887393734036955,0.24156584785063037,0.2530591308069168
harmonic-k,3,calm,42,0.3016588588849508,-0.13116370316023185,0.0019935584128129343,0.1745826233817777,0.27161590470113006
harmonic-k,3,calm,43,0.3016588588849508,-0.13116370316023185,0.0019935584128129343,0.1745826233817777,0.27161590470113006
harmonic-k,3,excited,42,0.475815940686513,0.018454055175081474,0.0011389715798616263,0.2445973461060963,0.2524592435888998
harmonic-k,3,excited,43,0.475815940686513,0.018454055175081474,0.0011389715798616263,0.2445973461060963,0.2524592435888998
harmonic-k,4,calm,42,0.2931046071156641,-0.12260945139094515,0.0018453952390435518,0.16870450991807445,0.27269715881768886
harmonic-k,4,calm,43,0.2931046071156641,-0.12260945139094515,0.0018453952390435518,0.16870450991807445,0.27269715881768886
harmonic-k,4,excited,42,0.4616584175710155,0.03261157829057898,0.0011698456490059801,0.2445973461060963,0.2524592435888998
harmonic-k,4,excited,43,0.4616584175710155,0.03261157829057898,0.0011698456490059801,0.2445973461060963,0.2524592435888998
harmonic-k,6,calm,42,0.28540562776128714,-0.11491047203656818,0.002002748784012727,0.17630429739663775,0.2709483057003327
harmonic-k,6,calm,43,0.28540562776128714,-0.11491047203656818,0.002002748784012727,0.17630429739663775,0.2709483057003327
harmonic-k,6,excited,42,0.467104741886311,0.027165253975283465,0.0013054581407551007,0.23896843478537433,0.2533971069026896
harmonic-k,6,excited,43,0.467104741886311,0.027165253975283465,0.0013054581407551007,0.23896843478537433,0.2533971069026896
valley-s,0,calm,42,0.3004127363203036,-0.1442353169320237,0.0017416351406506715,0.2130671544494568,0.27331379782921794
valley-s,0,calm,43,0.3004127363203036,-0.1442353169320237,0.0017416351406506715,0.2130671544494568,0.27331379782921794
valley-s,0,excited,42,0.4289413675849188,0.08701084831041578,0.0008401011050947003,0.3216013854887676,0.2590759786907535
valley-s,0,excited,43,0.4289413675849188,0.08701084831041578,0.0008401011050947003,0.3216013854887676,0.2590759786907535
valley-s,2,calm,42,0.3258694207235233,-0.16969200133524345,0.0020786646644938346,0.20026922927398455,0.269597091167485
valley-s,2,calm,43,0.3258694207235233,-0.16969200133524345,0.0020786646644938346,0.20026922927398455,0.269597091167485
valley-s,2,excited,42,0.4035024178575102,0.11746490387951569,0.00101410506356754,0.11513220682921026,0.271092049742616
valley-s,2,excited,43,0.4035024178575102,0.11746490387951569,0.00101410506356754,0.11513220682921026,0.271092049742616
valley-s,4,calm,42,0.3256791651247511,-0.16950174573647123,0.00193767875542146,0.1589526469269873,0.2781515192445888
valley-s,4,calm,43,0.3256791651247511,-0.16950174573647123,0.00193767875542146,0.1589526469269873,0.2781515192445888
valley-s,4,excited,42,0.4448635558526383,0.07610376588438755,0.0010737776100953917,0.11833572649268627,0.28224721610387815
valley-s,4,excited,43,0.4448635558526383,0.07610376588438755,0.0010737776100953917,0.11833572649268627,0.28224721610387815
valley-s,6,calm,42,0.3660016003490997,-0.2098241809608198,0.001924963065749255,0.13210867327240064,0.2827817095016359
valley-s,6,calm,43,0.3660016003490997,-0.2098241809608198,0.001924963065749255,0.13210867327240064,0.2827817095016359
valley-s,6,excited,42,0.4564704837459283,0.06449683799109757,0.0008380329792886668,0.3370916867663761,0.255070819870286
valley-s,6,excited,43,0.4564704837459283,0.06449683799109757,0.0008380329792886668,0.3370916867663761,0.255070819870286
