probe_valence,sae_predicted_valence
0.5885194436401845,0.60828406
0.5367144819104311,0.6092704
0.5845289333508528,0.640398
0.6101642224859066,0.62512755
0.608643630915052,0.6037037
0.5983950007457971,0.62317854
0.623529253996421,0.5928829
0.5718709267271157,0.5885402
0.5526148876033454,0.55342007
0.6454049543334219,0.63498795
0.6060726158786474,0.57361066
0.5886113715445012,0.5607947
0.5593938721354685,0.54589176
0.661055255878524,0.6477736
0.6036736161191044,0.5879952
0.609171858617676,0.6045617
0.5967503664107492,0.55376047
0.6576020134125384,0.6466127
0.6037498453083173,0.62580353
0.5885356240146734,0.5728991
0.5849909089099323,0.5545948
0.5863205714986308,0.5768889
0.5674881350219494,0.56325936
0.6254007569572999,0.600673
0.6010002603012083,0.5924279
0.608643630915052,0.6052749
0.6049231021503229,0.5702229
0.5980773173026352,0.5982028
0.6096706876767877,0.6178633
0.6339969050706071,0.58812535
0.6054595941289983,0.57286847
0.5435741640214948,0.58388084
0.6232331799244202,0.6334095
0.5793264529693685,0.6041337
0.6186645284133019,0.5680735
0.6131857877225446,0.6172112
0.6005791396880784,0.594988
0.614043434848162,0.55479217
0.55683278139853,0.5775287
0.6022670412908998,0.6434668
0.5781858827564598,0.5332552
0.5805021025480497,0.6011871
0.5942909946732627,0.6403389
0.5788169312508288,0.5828473
