corner,induction_mag,dist_induced_to_calm,dist_rescued_to_calm,recovery,recovery_frac
anxious/distress,0.10915604668971536,0.3392526944461713,0.2801438116346433,0.059108882811527985,0.17423261120452707
sad/low,0.17042178079876605,0.3423113561017759,0.2910648684568284,0.05124648764494749,0.149707237961778
excited/high,0.04478161422091807,0.27718229113876364,0.2597555059635759,0.017426785175187753,0.06287120689995132
angry/hostile,0.15006147665030548,0.3680518782760424,0.28477773614071267,0.08327414213532974,0.22625653352290012
