shape,angle_deg,target,seed,placement_error,displacement,path_dirichlet
octagon,45.0,calm,42,0.3536003938627272,-0.06654560336610027,0.001376120164154568
octagon,45.0,calm,43,0.3536003938627272,-0.06654560336610027,0.001376120164154568
octagon,45.0,excited,42,0.47955633013335713,0.0311950756125991,0.0032504828672359504
octagon,45.0,excited,43,0.47955633013335713,0.0311950756125991,0.0032504828672359504
pentagon,72.0,calm,42,0.3517083948956551,-0.06465360439902818,0.002332699595107218
pentagon,72.0,calm,43,0.3517083948956551,-0.06465360439902818,0.002332699595107218
pentagon,72.0,excited,42,0.47671559972654665,0.03403580601940959,0.0011989132509954176
pentagon,72.0,excited,43,0.47671559972654665,0.03403580601940959,0.0011989132509954176
triangle,120.0,calm,42,0.30474537774735,-0.01769058725072309,0.003509263497099202
triangle,120.0,calm,43,0.30474537774735,-0.01769058725072309,0.003509263497099202
triangle,120.0,excited,42,0.48994961077156374,0.020801794974392496,0.003801633263895776
triangle,120.0,excited,43,0.48994961077156374,0.020801794974392496,0.003801633263895776
octagram,135.0,calm,42,0.3679427860114274,-0.08088799551480047,0.0036722977747083454
octagram,135.0,calm,43,0.3679427860114274,-0.08088799551480047,0.0036722977747083454
octagram,135.0,excited,42,0.5339334396112376,-0.023182033865281393,0.0017925814697759379
octagram,135.0,excited,43,0.5339334396112376,-0.023182033865281393,0.0017925814697759379
pentagram,144.0,calm,42,0.3923424009450066,-0.1052876104483797,0.003096284758511431
pentagram,144.0,calm,43,0.3923424009450066,-0.1052876104483797,0.003096284758511431
pentagram,144.0,excited,42,0.5157882046386326,-0.005036798892676386,0.0020187363831952387
pentagram,144.0,excited,43,0.5157882046386326,-0.005036798892676386,0.0020187363831952387
