id,constructor,generator,target,length,intensity,style,placement_error,displacement,adherence,stability,basq_displacement,low_freq_fraction,spectral_centroid,path_dirichlet,mismatch_placement_error,nv_ratio,and_initial_per_1000,then_per_1000,subordinator_per_1000,noun_shen,noun_apen,cv_line_len
valley-psg-focused-b6b50cae,valley,psg,focused,medium,plain,unfiltered,0.12782227613445896,0.05857423969394812,0.16252063188734464,0.026993412130369446,-0.0501653748952324,0.24799948250934203,0.25919575737911216,0.0005264027056504435,,0.6455696202531646,13.157894736842104,0.0,6.578947368421052,1.9182958340544896,-0.2231435513142097,0.2977291710259148
harmonic-organic-psg-focused-42779d0f,harmonic-organic,psg,focused,medium,plain,unfiltered,0.13855136625076914,0.15169224014331284,0.17678029896164607,0.025529722506381216,-0.019827881030768463,0.14098474363287566,0.27109881838797106,0.00244775128024797,,0.5116279069767442,8.928571428571429,0.0,62.5,1.5,-0.4054651081081645,0.2812145669289932
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,psg,focused,medium,plain,unfiltered,0.14020158731201746,0.15004201908206452,0.16749989018616326,0.02961419501937025,-0.037746704226666344,0.11395945552093141,0.27468185921831306,0.0028539084430626444,,0.43478260869565216,8.849557522123893,0.0,53.097345132743364,2.0,-0.4054651081081645,0.2841521125310146
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,psg,focused,medium,plain,unfiltered,0.16274688288322323,0.12749672351085875,0.18008171462718647,0.02824496964592412,-0.037746704226666344,0.1255654468290054,0.273711668961733,0.0028581395700263586,,0.4418604651162791,9.090909090909092,0.0,54.54545454545455,2.0,-0.4054651081081645,0.28805417305008835
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,psg,focused,medium,plain,unfiltered,0.19373734678754068,0.18531452498327916,0.11732028180354366,0.03486522658676919,-0.028601454639006124,0.1495067903474056,0.2664661406685992,0.0009109097416270857,,0.6666666666666666,6.410256410256411,6.410256410256411,51.282051282051285,1.9182958340544896,-0.2231435513142097,0.23076923076923078
graph-walk-psg-focused-13e19175,graph-walk,psg,focused,medium,plain,unfiltered,0.2172451662796516,0.16180670549116824,0.21463521324463608,0.03494579218396418,0.02222514279846549,0.3563503195617649,0.22481623474628393,0.00014224007788285882,,0.38596491228070173,10.638297872340425,21.27659574468085,53.191489361702125,2.2359263506290326,-0.18232155679395445,0.20072300280971497
valley-psg-calm-05f538f2,valley,psg,calm,short,plain,unfiltered,0.21858808436949642,0.025800255183967058,0.2233396521756479,0.02204388191972745,0.04929771628146867,0.2311750502625881,0.26475005644482286,0.0021584069368756863,0.510915566071753,0.6111111111111112,0.0,0.0,0.0,-0.0,,0.3227486121839514
render-polygon-pca-word-template-focused-b75bde3b,polygon-pca,claude-render,focused,medium,plain,unfiltered,0.22562352295202806,0.2140648260606817,0.12766394377677315,0.018322175933379183,0.056671305837534075,,,,,0.6346153846153846,0.0,0.0,0.0,1.584962500721156,,0.19383901232221915
shuffled-valley-psg-calm-0379d965-f794b1cd,shuffled:valley,psg,calm,medium,plain,unfiltered,0.22920287025495933,0.01514086492111269,0.23814695020984522,0.02511720326399408,0.14489798194120518,0.13016233457641713,0.28378494275212407,0.0017506667503617214,0.5398397560013519,0.75,16.0,0.0,0.0,1.9219280948873623,-0.2876820724517808,0.27141112725899796
valley-psg-calm-0379d965,valley,psg,calm,medium,heightened,unfiltered,0.23121687515401604,0.013126860022055986,0.22449354169688576,0.014785468519067854,0.05580039765479344,0.13016233457641713,0.28378494275212407,0.0017285074572651066,0.5081693027537125,0.7333333333333333,16.0,0.0,0.0,1.3709505944546687,-0.2876820724517808,0.271411127258998
valley-psg-calm-0379d965,valley,psg,calm,medium,plain,unfiltered,0.23121687515401604,0.013126860022055986,0.22449354169688576,0.014785468519067854,0.05580039765479344,0.13016233457641713,0.28378494275212407,0.0017285074572651066,0.5081693027537125,0.7333333333333333,16.0,0.0,0.0,1.3709505944546687,-0.2876820724517808,0.271411127258998
render-graph-walk-word-template-focused-c375e4fc,graph-walk,claude-render,focused,medium,plain,unfiltered,0.23367075363482823,0.20601759537788153,0.08976054742769135,0.01005229860626779,0.07701946510680635,,,,,0.7391304347826086,0.0,0.0,21.73913043478261,1.584962500721156,,0.13400900006454294
valley-gregory-calm-0379d965,valley,gregory,calm,medium,plain,gregory,0.2346621516998491,0.07084406298817658,0.23888737243974825,0.014506438839810116,0.14489798194120518,,,,0.508484637647293,0.6901408450704225,88.0503144654088,0.0,0.0,1.4591479170272448,-0.2231435513142097,0.23389124505392517
polygon-pca-psg-calm-57b971bb,polygon-pca,psg,calm,medium,plain,unfiltered,0.23498983301719634,0.07783460227088429,0.1551658866334162,0.01663255216017802,0.10830324056631796,0.3176957214277231,0.24966653408446876,0.0015504993998194103,0.519747356687498,0.7121212121212122,0.0,0.0,18.404907975460123,1.4591479170272448,0.05411532090976845,0.23272486795571357
polygon-pca-word-template-focused-b75bde3b,polygon-pca,word-template,focused,medium,plain,unfiltered,0.23506780338768696,0.2046205456250228,0.12329626180118926,0.015928360292027034,0.1952485422878545,,,,,0.6923076923076923,0.0,0.0,0.0,1.0,,0.1950955759032588
valley-psg-calm-4876a2ae,valley,psg,calm,long,plain,unfiltered,0.23894153951865796,0.005409756169973856,0.22795504226040256,0.02892995674617563,0.14107998423537155,0.18339118958298237,0.2749177028942749,0.001869729660414151,0.5332610269492322,0.7368421052631579,15.337423312883436,0.0,6.134969325153374,2.0349409139562287,0.3031662252707221,0.26986892574138366
render-harmonic-prime-word-template-focused-3071ad96,harmonic-prime,claude-render,focused,medium,plain,unfiltered,0.2390697586883487,0.20061859032436105,0.16096397774874802,0.027285784707085196,0.178561609378645,,,,,0.5652173913043478,0.0,0.0,0.0,1.584962500721156,,0.1908792712982513
valley-word-template-focused-353cd512,valley,word-template,focused,medium,plain,unfiltered,0.24454283304128993,0.19514551597141983,0.27989776655025417,0.019734350679514852,0.0833752745861297,,,,,0.6764705882352942,0.0,0.0,0.0,1.0,,0.1950955759032588
