poem,target_v,target_a,eligible_lines,cal_v,cal_a,cal_error,sensuous_score,inspired,attentive,alert,interested,active,pa,na,bank_v,bank_a
creativity + mentation,0.723469387755102,0.47136734693877547,4008,0.7361401335593729,0.37827839737313407,0.09394732742590914,0.39288797974586487,3.1569430918616614,2.8920969341825207,2.64799709206927,2.9447737208464893,2.8089456899567886,2.922369856560318,2.451456224315174,0.3961538461538462,0.5969230769230769
magical,0.6718888888888889,0.5587777777777778,3275,0.7195452108770017,0.40050979097091255,0.16528726712403702,0.3662930727005005,2.9091941754010024,2.823805051788558,2.4596792317444702,2.772184052035139,2.4956810381725707,2.60213087704069,2.0047391210114545,0.40454545454545454,0.5436363636363636
numinous,0.6756315789473684,0.5255263157894736,3478,0.7014853962736333,0.3395201079335458,0.1877943801908952,0.38548198342323303,3.1929230094279233,3.010412870473602,2.461727967507122,2.883285218048608,2.4838095973946306,2.617020757703903,1.923458759950598,0.47812499999999997,0.54
