state,cal_v,cal_a,cal_error,pa,na,attentive,alert,determined,active,interested,inspired,jittery,nervous,bank_v,bank_a
before,0.6643738522342196,0.3009445424074165,0.1574860360261136,2.1366726352441208,2.4808068230619478,2.1407080945569477,1.8508920218106817,2.3626257087566542,1.8573889249159141,2.1915447982438607,2.197776566294894,2.536528762689546,3.044474746088458,0.5403846153846154,0.6076923076923076
after,0.6042914009392972,0.34701262676228417,0.13568724019006592,2.5725411766910122,2.1498057751047908,2.849014015153208,2.2941858950450267,2.555219495315596,2.456687748894535,2.792984320343778,2.969776256531075,2.1334601412883623,2.4260837936563573,0.3967391304347826,0.5452173913043478
