state,target_v,target_a,poem_v,poem_a,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,panas_interested,panas_alert,basq_v,basq_a,basq_n_yes,gen_ttr,gen_rarity,gen_v,gen_a,sae_n_active,sae_top,secs
baseline,,,,,0.5918304635838846,0.4870604573352458,0.7353202070834041,0.20847346096478686,1.9722341403777837,1.8073744540449688,1.7908270898410341,2.5849035738891923,2.001352459672581,0.425,0.632,10,0.9447094055013309,2.668244851758267,0.6609625760712716,0.39064185331576634,72,1841 14528 1459 1692 6631,14.3
calm,0.75,0.2,0.7202520833333335,0.20980972222222224,0.7418019720615552,0.1148081007756529,0.746719318574667,0.1730047174830725,2.565493337348551,1.6495715986702753,3.0710135609678892,3.1710452780620377,2.270482785548252,0.40441176470588236,0.54,17,0.9587301587301588,2.982848716811038,0.6722592592592592,0.34591666666666665,65,9768 4046 813 10640 10715,19.1
nirvana,0.7896666666666667,0.3140833333333333,0.7371597222222223,0.26221180555555557,0.7467100854187582,0.26661049549114,0.7235140384455838,0.2447805202052502,2.626324108402306,1.5828846321845191,3.3507203375440415,3.3159430153758227,2.163855015933537,0.4785714285714286,0.4828571428571428,14,0.9378454063276584,2.9267723652727207,0.7044309523809523,0.37860000000000005,61,9768 4046 813 1530 10715,18.7
receptive,0.7066666666666666,0.38775,0.6995972222222222,0.29626458333333333,0.7131018237080287,0.34256164951834867,0.6980145686786223,0.31816832375207776,2.5445377293886056,1.9522135825419724,3.0671954738240714,3.0100380822841206,2.2308270004161894,0.43125,0.4875,16,0.9162157287157288,2.75997473244137,0.6449051282051284,0.3688315850815851,58,9768 4046 6143 1530 10640,19.0
creativity,0.7261666666666667,0.47283333333333327,0.708670138888889,0.33524375,0.6630352924307538,0.3880270335259467,0.71713168103778,0.2931962324332334,2.5475084149801317,1.9875708887948913,3.2808026022016943,3.073489860513922,2.1892157072272838,0.45,0.4875,16,0.8943191311612364,2.729918347565569,0.7029851851851853,0.34229629629629627,64,9768 4046 6143 15064 1459,20.5
imaginative,0.7653333333333334,0.53825,0.7263562499999999,0.36542708333333335,0.7550616658018718,0.3805373011365817,0.7374606787523894,0.3639073363239718,2.7838672160815587,1.6700004232772823,3.637904022568027,3.13101234404162,2.370536362712252,0.5096153846153846,0.5030769230769231,13,0.9399122807017544,2.8738930620146435,0.6726518440709617,0.3945625,65,4046 9768 6143 813 15045,20.5
awe,0.8031666666666667,0.6505000000000001,0.7443944444444445,0.41754444444444444,0.8256186813346744,0.45423601996689283,0.7124674960436932,0.33144192074433426,2.945673706408152,1.853606262291945,3.6281302677326446,3.4485896076181444,2.314161089792603,0.43125,0.4875,16,0.9305591364581721,2.754858765096545,0.6702631578947368,0.37252631578947365,63,9768 4046 6143 813 15045,18.9
