swap,line_idx,removed,inserted,dist_from_winner,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,basq_v,basq_a,score_raw
0,6,the fiery spirit over half a globe,two silken sister flowers consult and lay,0.3991738598079516,0.6554924891596416,0.4901185996061076,0.7534927107039369,0.4611187893977495,3.230854303388947,2.029295976226719,3.9510393615702,0.5194444444444444,0.5444444444444445,1.6124333164690663
1,0,and others come their chosen one to greet,scraping wide areas off his skin,0.5495767684487353,0.6629402724196611,0.5449605660497344,0.7424664025481276,0.5398401139455046,3.4327039422541104,1.9735113601750984,4.096274776226932,0.475,0.632,2.257114439539855
2,6,the fiery spirit over half a globe,her lovely bosome and celestial eyes,0.6624807061245388,0.6828790357089219,0.5199194211810452,0.7407539472073532,0.4801008251354285,3.1533225644808622,1.900589215566861,3.9870074198884686,0.475,0.568,1.749890963001191
3,5,a sweet and human smile,and you ll hear the great multitude cheering,0.8468719403382351,0.6305298172210827,0.6035306935980287,0.7639496633230636,0.5180872403530384,2.9826746554786636,1.8630473782303294,3.188944571944438,0.47115384615384615,0.6846153846153846,0.461983541129476
4,2,we listen and whisper with laughter low,with marvellous inscriptions lined in red,0.5621447350432416,0.6576425025589325,0.5712078141076153,0.7303486628008827,0.4679677684612226,3.1034126815743672,2.0808019880455504,3.6647909923293103,0.46388888888888885,0.5977777777777777,0.9198488272888256
5,7,in deepest chords with passion fraught,the ways that we have gone,0.5393995058705563,0.6231614312649285,0.4734390431740875,0.7721088681639411,0.39908237510617417,3.0787723260351787,1.8053666538133553,4.019116202280025,0.5041666666666667,0.6233333333333333,1.828632865714534
6,7,in deepest chords with passion fraught,a little green snake curls thro her hair,0.6721350234455679,0.633850101735822,0.44406175283416627,0.7542509218704379,0.3963578030046907,2.939751009582199,1.810900071834792,3.6207653355903524,0.525,0.5479999999999999,1.0484626411313427
7,2,we listen and whisper with laughter low,to scape the pressure of contiguous pride,0.6379658483319378,0.6345006074235752,0.5545891490345769,0.7178010268434922,0.4613696401598891,3.0276028598467,2.0558909694258323,3.7545454436555725,0.46388888888888885,0.5977777777777777,0.9489066903666149
8,7,in deepest chords with passion fraught,shout let it reach the startled huns,0.5723911193130482,0.5783664370623149,0.5368244744908928,0.7171849807389254,0.4618750691879079,3.0001629725564403,1.924430075043271,3.7423076518216827,0.485,0.6519999999999999,1.1155986787396674
9,0,and others come their chosen one to greet,but like good withers shore before ye strike,0.49946144570510953,0.6441078992362536,0.560512801175281,0.75845117160041,0.49458903398995047,3.394574931748455,1.9677265100832766,3.996334493550937,0.45,0.6533333333333333,2.068276483900898
10,2,we listen and whisper with laughter low,see the snow see the snow,0.35380878367862356,0.6587951890811166,0.5425231720078341,0.7223541295636393,0.44943034601574594,3.254004193020278,2.0937706709501525,3.8277376728734773,0.475,0.568,1.3769575135712595
11,5,a sweet and human smile,from vibratory after pain,0.5312296052057925,0.5801881316955069,0.5840905813234326,0.6869979494085092,0.536592767399937,3.436595102464662,2.2406434744456916,3.9400214324162683,0.475,0.568,1.5880272336556538
12,2,we listen and whisper with laughter low,the morning dawn anon,0.4473242568242515,0.6303319438710246,0.5345097606126367,0.7571395192642314,0.4674911578150662,3.0419679758365805,1.9028952362855087,3.612127076929445,0.45999999999999996,0.5479999999999999,1.0550232920768368
13,3,bright vlashin in gold,full on his elbow point antilochus,0.4422801297062878,0.6415959104042914,0.5446257943499635,0.7244481796694373,0.4659354553081592,3.4591101748272273,2.0708605535451476,4.035576242268937,0.475,0.568,2.052248501473392
14,3,bright vlashin in gold,persephone with grateful eyes,0.47798527945928254,0.6638103081968405,0.5557960229536129,0.746113936631498,0.5023534001963222,3.386008241651756,1.917861925704996,4.15121592540924,0.475,0.568,2.345409394550371
15,0,and others come their chosen one to greet,and you ll hear the great multitude cheering,0.6894985056966756,0.6569845566463858,0.5785983468903256,0.8279746640902319,0.5441539894312228,3.4143632107398987,1.805012764088693,4.028517126376645,0.47115384615384615,0.6846153846153846,2.431588205351023
16,5,a sweet and human smile,now look d aurora from the east abroad,0.6966895978822927,0.6313700174975482,0.558617875016123,0.715055832949502,0.504460923988703,3.525019269880618,2.0879289868181785,3.9811518036749733,0.5892857142857143,0.6085714285714285,2.0662297784391015
17,5,a sweet and human smile,with glory honor riches gold,0.46724079408132485,0.6606223982356616,0.6146793472297931,0.7789691522935528,0.543256342584561,3.2197382903663887,2.0466430859051252,3.7867779479087975,0.475,0.568,1.345474740509557
18,5,a sweet and human smile,morning the studio enter ribera,0.5805506517240678,0.6099064490847785,0.5664493129947208,0.7567473962272244,0.4833957168177422,3.32672755063487,2.187993177763202,3.6625906580327983,0.5892857142857143,0.6085714285714285,1.1210710256528087
19,5,a sweet and human smile,this little germ of nuptial love,0.7517371499234194,0.6249942718384679,0.5767368675402607,0.7350930678941952,0.5218933846158369,3.319883815131439,2.029596599054382,3.9311107349314574,0.47115384615384615,0.6353846153846153,1.7420874934546848
