target,seed,orig_score,closing,residual_grain,dist_to_mid,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,basq_v,basq_a,secs,score
gap_03,0,2.0514851337174385,0.4775700181722716,0.8502850837914258,0.7337741219831285,0.6479350893162785,0.42215040573121937,0.7464476935075259,0.4338969696302445,2.5827292891187654,1.9071146532245966,2.8112353092580755,0.5159090909090909,0.5509090909090909,26.2,-0.8173292374113279
gap_03,1,2.0514851337174385,0.47509083384185236,0.8543201000222135,0.7453340450223572,0.5981398924478335,0.4219238726010593,0.7433723514196372,0.4711563544220979,2.977018049197245,2.0199772862001533,3.9600903552990294,0.51,0.528,25.6,1.1945609922371547
gap_03,2,2.0514851337174385,0.33614592323065695,1.0804609975030746,0.7378246531125073,0.7012697897372363,0.44216543664269564,0.7544389272446081,0.4477310817391939,2.3548760574964716,1.8670955315143316,2.4962985718784587,0.49807692307692303,0.583076923076923,27.1,-1.5634208605579616
gap_03,3,2.0514851337174385,0.388034346346835,0.996009580601636,0.7016311189481763,0.6967545411220792,0.594105434651753,0.7569250706282079,0.47186076649805353,2.622558855120295,1.7232210391381784,3.7385837071919834,0.5027777777777778,0.5222222222222223,25.2,0.800604773519129
gap_03,4,2.0514851337174385,0.4110193692041725,0.9586001233231226,0.8733273612947196,0.6065479153658712,0.42621798271022543,0.6957896200202213,0.3733208328993719,3.0270707807853574,2.0149238681324158,3.7526512135850756,0.5194444444444444,0.5444444444444445,26.2,1.0174838493013676
gap_09,0,2.2578541479282013,0.5121279429287764,0.8743130390896313,0.6380572929305337,0.6558391741046867,0.48443497706301797,0.7263710773820493,0.4693368414976902,3.396791374689208,1.8362515696677513,4.195080712510446,0.6607142857142857,0.6314285714285715,27.1,2.565751382268024
gap_09,1,2.2578541479282013,0.38186925368336433,1.107748975440792,0.8040316189812925,0.5971871385022968,0.5350132486280667,0.7113189368343107,0.43244386544935476,2.7059465205191158,1.5940076922607358,3.245983647321945,0.5159090909090909,0.5072727272727273,25.5,0.5237945750083383
gap_09,2,2.2578541479282013,0.42437955711215714,1.0315664762696535,0.6574413948621394,0.6012242241823229,0.5062162368322641,0.726770549544645,0.43598814764011795,2.9991374573392107,1.5452979013918777,3.898685563341459,0.5159090909090909,0.5072727272727273,26.9,1.9867670326894844
gap_09,3,2.2578541479282013,0.31354837103147837,1.2301864827316351,0.844684068826848,0.5858031336898963,0.5235159133129049,0.6251287367748328,0.47128414412144626,3.0013790908230953,2.2169972877300785,3.3857599527951945,0.42833333333333334,0.5373333333333333,26.2,0.13258805130614038
gap_09,4,2.2578541479282013,0.35029669317513457,1.1643300009979942,0.6373872091216157,0.6300100774837116,0.4982495757329219,0.6720507181699247,0.4264647069157236,2.67696897819683,1.9197900689667038,3.379733611718426,0.525,0.5479999999999999,26.6,0.07681102771397932
hub_09,0,1.757918572284089,0.43829103553030724,0.8508203463856624,0.9216796843019709,0.5224869463717902,0.48364432488394693,0.590846424884528,0.41154724767379613,2.6934007912992013,1.880423796982873,3.4422027348466653,0.44642857142857145,0.5199999999999999,25.3,0.2573928021664165
hub_09,1,1.757918572284089,0.4294828563804177,0.8641620918612952,0.995446750206841,0.5676267984239254,0.4197965893847471,0.5970820749134457,0.38183803102499947,2.4909875760479347,1.4495148996958402,3.198946945525369,0.48653846153846153,0.5738461538461539,25.8,0.3378086991494035
