cloud,n,nn_median,nn_p10,nn_p90,rms_radius,grain,intrinsic_dim
"fresh passages, all",2000,4.051828861236572,3.3763216018676756,5.0215078830719,5.618244171142578,0.721191307784075,17.79064952733524
fresh passages within 1.5 grain,1067,3.7876381874084473,3.23941593170166,4.429092025756836,4.7145209312438965,0.8033983182272356,18.26194977568726
"original poem cloud, in zone",627,3.934081792831421,3.38966703414917,4.5386310577392575,4.690539360046387,0.838726954588974,18.632933294308312
