constructor,n,ema,cal,ema_rank,cal_rank
valley,8,0.2445923716579722,0.07932853193986475,1,1
harmonic-golden,14,0.2735752616938015,0.17750789575158818,2,3
polygon-pca,4,0.2782428366716989,0.16332735037019291,3,2
graph-walk,4,0.28998683558059146,0.19823572178347593,4,4
harmonic-prime,4,0.29921996347266,0.22119335337743506,5,6
harmonic-organic,4,0.3045497127095699,0.20826877010998304,6,5
via-negativa,3,0.44243620075741896,0.6188345120579036,7,7
