id,constructor,generator,target,length,intensity,style,ema_error,passage_error,passage_v,passage_a,target_v,target_a
harmonic-organic-word-template-focused-a8b2fa74,harmonic-organic,word-template,focused,medium,plain,unfiltered,0.254412651241948,0.32453319476765813,0.6706272116422046,0.2761229976581072,0.65,0.6
harmonic-organic-word-template-excited-8d6b43df,harmonic-organic,word-template,excited,medium,plain,unfiltered,0.5179013494124962,0.5357059439497007,0.5394526857452738,0.3819231308666397,0.8,0.85
harmonic-organic-word-template-rescue-c6e70bc8,harmonic-organic,word-template,rescue,medium,plain,unfiltered,0.3352264111381832,0.20764473184871104,0.6612639431784428,0.3877291849561077,0.75,0.2
polygon-pca-psg-calm-57b971bb,polygon-pca,psg,calm,medium,plain,unfiltered,0.2424810018877474,0.10511158642423923,0.6635331445396423,0.25976561308493307,0.75,0.2
polygon-pca-psg-focused-e4c8bfe0,polygon-pca,psg,focused,medium,plain,unfiltered,0.2143426892513057,0.03439884229027605,0.6313849567059744,0.5710731869354255,0.65,0.6
polygon-pca-psg-excited-fe6db76a,polygon-pca,psg,excited,medium,plain,unfiltered,0.4517552432545794,0.2697727898206908,0.6606606502206991,0.6189980438811822,0.8,0.85
polygon-pca-psg-rescue-67f0bbe0,polygon-pca,psg,rescue,medium,plain,unfiltered,0.2043924122931631,0.2440261829455656,0.5694904228617059,0.3642104458441573,0.75,0.2
polygon-pca-word-template-calm-2ee4bee8,polygon-pca,word-template,calm,medium,plain,unfiltered,0.3206746255340618,0.13227417768919886,0.646064867436313,0.2818165405179329,0.75,0.2
polygon-pca-word-template-focused-b75bde3b,polygon-pca,word-template,focused,medium,plain,unfiltered,0.203448713366548,0.29315651486147526,0.7147773215613309,0.314089802880229,0.65,0.6
polygon-pca-word-template-excited-3d14010f,polygon-pca,word-template,excited,medium,plain,unfiltered,0.4542647014253435,0.3216473821398271,0.7023857792279891,0.5435224276713269,0.8,0.85
polygon-pca-word-template-rescue-1e9b0891,polygon-pca,word-template,rescue,medium,plain,unfiltered,0.3124253248325198,0.3195073009611424,0.5491090028809088,0.4484506442816587,0.75,0.2
valley-psg-calm-05f538f2,valley,psg,calm,short,plain,unfiltered,0.2309342071111131,0.03457514539945559,0.7631194368624827,0.23198938973792443,0.75,0.2
valley-psg-calm-4876a2ae,valley,psg,calm,long,plain,unfiltered,0.2131069891495756,0.014376140002966612,0.7522082954610156,0.18579447880077066,0.75,0.2
valley-psg-calm-0379d965,valley,psg,calm,medium,heightened,unfiltered,0.222298825720599,0.035501519012230344,0.7163081323683013,0.18881000859411218,0.75,0.2
valley-psg-calm-8f575d87,valley,psg,calm,medium,plain,imagist,0.3013229543632028,0.036729684861499814,0.7302384073150421,0.16903955419282685,0.75,0.2
valley-psg-calm-da07eb5e,valley,psg,calm,medium,plain,abstract,0.2885673210846701,0.07654390240235179,0.7092228801667366,0.2647780479258555,0.75,0.2
harmonic-golden-psg-calm-4efc3a1c,harmonic-golden,psg,calm,short,plain,unfiltered,0.2739681141516931,0.14546523366053915,0.6875341499706145,0.3313702850115717,0.75,0.2
harmonic-golden-psg-calm-6c7c3bcf,harmonic-golden,psg,calm,long,plain,unfiltered,0.2532820056521804,0.14551443156479987,0.6119867735402039,0.24611723230836677,0.75,0.2
harmonic-golden-psg-calm-e6f4d11f,harmonic-golden,psg,calm,medium,heightened,unfiltered,0.2609880899320775,0.16021121419791184,0.656409294886464,0.3300323539397805,0.75,0.2
harmonic-golden-psg-calm-3b1f7449,harmonic-golden,psg,calm,medium,plain,imagist,0.2672948945444101,0.15844347553752147,0.6084450157242295,0.2711795010315156,0.75,0.2
harmonic-golden-psg-calm-ed9d973f,harmonic-golden,psg,calm,medium,plain,abstract,0.2576263180623423,0.17647633869049933,0.6619169337712667,0.35292243642235244,0.75,0.2
harmonic-golden-psg-rescue-56f69a2d,harmonic-golden,psg,rescue,short,plain,unfiltered,0.2435422841661141,0.2200033269196485,0.6053531784269751,0.3657671887453462,0.75,0.2
harmonic-golden-psg-rescue-2eeb20bd,harmonic-golden,psg,rescue,long,plain,unfiltered,0.3185819096311879,0.13699518232326355,0.6535361599003024,0.29727490700588827,0.75,0.2
harmonic-golden-psg-rescue-91653d2f,harmonic-golden,psg,rescue,medium,heightened,unfiltered,0.2615458641106777,0.15391049774990678,0.6460271611368463,0.3134816729536569,0.75,0.2
harmonic-golden-psg-rescue-d37393a3,harmonic-golden,psg,rescue,medium,plain,imagist,0.2614522783997243,0.14065236156833327,0.6363315866241875,0.28284068212765134,0.75,0.2
harmonic-golden-psg-rescue-bf3b46d3,harmonic-golden,psg,rescue,medium,plain,abstract,0.275709082296756,0.18624722728062804,0.6885041160518101,0.37580183709834397,0.75,0.2
shuffled-graph-walk-psg-calm-7882d64d-abf99e1a,shuffled:graph-walk,psg,calm,medium,plain,unfiltered,0.3387661847319999,0.23551500922694377,0.5348094660631115,0.2957097365743124,0.75,0.2
