readout,v_lo,v_hi,a_lo,a_hi,v_range,a_range,area
EMA + word probe,0.2627748192670399,0.5342141543415232,0.357748031684918,0.5847555211805551,0.2714393350744833,0.2270074894956371,0.06161876200562349
anchor + passage probe,0.3597632572917794,0.7259946741112642,0.1876809276468907,0.6593757856810397,0.3662314168194848,0.471694858034149,0.17274947616431213
