id,arm,closing,transfer_closing,drift_closing,residual_grain,d_before,local_spacing,n_within_grain,circumradius,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,basq_v,basq_a,score,map_novelty_grain,affect_novelty
gap_00,gap,0.37055149132463217,0.08804920869792643,0.004265061174547724,1.248946262601184,8.349666160620886,1.251096620986075,0.0,2.3999183825651107,0.6425992735100403,0.48455584938137825,0.7367018338538581,0.4163411461876121,2.4331289820906377,1.3808918612621548,3.1578865417885225,0.51,0.5,0.4285802175279082,1.5431993007659912,0.052439300742824616
gap_01,gap,0.22457927660651322,0.16337474493122184,-0.08817183040268002,1.3085572886869077,7.101349791199253,1.1556471087219486,1.0,2.399269292824363,0.6281162251141346,0.4120650717045311,0.7644165572568358,0.319033277450733,2.8743160976677338,1.8474654614804362,3.691077145627195,0.47045454545454546,0.4709090909090909,1.1413189866192575,1.9350436925888062,0.05234788004977256
gap_02,gap,0.3734103590348261,0.05461681230442006,-0.007269259533591217,1.0790391084912443,7.246687651969875,1.108273733750683,3.0,2.3639946749576817,0.4354197352452783,0.5134476491185831,0.5281893457143929,0.482736001023801,2.5869392281299053,1.933093572481122,3.1240301018717958,0.525,0.5479999999999999,-0.26279413180442646,1.5662297010421753,0.23648071117421035
gap_03,gap,0.4382513273606998,0.11412461891142289,0.026311317192924972,0.914278402280747,6.848918112316101,0.970924843714489,10.0,2.36197397363093,0.6016103481902166,0.4717399790291904,0.6921310831953933,0.46260437627425094,3.1953959669307754,1.9538941458155765,4.089651479488211,0.525,0.5479999999999999,2.0514851337174385,1.3500689268112183,0.10860882988186474
gap_04,gap,0.3405518773441878,0.04279248590211471,-0.14399259906275322,0.9532053270483319,6.0826298998079995,1.0313635239049206,6.0,2.34097673784549,0.6130043399674878,0.4600073239391449,0.6608599062158182,0.4011556371736894,2.4960333477819105,1.5343093500661031,3.1375951236699167,0.51,0.528,0.2536913442092772,1.4804718494415283,0.08517695855917014
gap_05,gap,0.4620216493685132,0.05426088428513842,0.02904607479415396,0.958161124180716,7.494787346342529,1.0721111599918427,5.0,2.29499027769744,0.5757283057359627,0.39102344407450285,0.5097554440668562,0.29322930634465405,2.6690024499012694,1.9227500139725593,3.2736533698230907,0.4375,0.51,0.09798352293803841,1.4909775257110596,0.18990379824752388
gap_06,gap,0.35420813385168937,0.1255056651878248,0.052285374477415734,1.1471535373273185,7.4750576396988055,1.08301722214072,1.0,2.241951152280434,0.5923159723428502,0.5361465656064932,0.5519649253785971,0.5325662987170088,2.7643216922039593,2.3350963592121046,3.1794211025439165,0.4211538461538461,0.5615384615384615,-0.5473150193210385,1.7122262716293335,0.25070803759593874
gap_07,gap,0.4434147422497192,0.10061086870034486,0.1889836774301011,0.9779457537360072,7.393815923973129,1.0797622848621184,3.0,2.240554324212658,0.5928802675404756,0.5288688740233876,0.6256301398955991,0.40314824561130996,2.794173831928962,1.946210000243168,3.2427512359252404,0.5166666666666667,0.49666666666666665,0.21859094984782537,1.5793555974960327,0.11162926430576249
gap_08,gap,0.5307281448648811,0.060744313738193556,0.10309148905101588,0.751376891862629,6.737812084150912,0.9498147067533151,10.0,2.2305796256168566,0.5813509028524737,0.5051717716117928,0.6289557596445123,0.4947551440058029,2.84331529887456,1.7424540975703653,3.2883369679060928,0.5194444444444444,0.5444444444444445,0.6915329246665428,1.713131308555603,0.16998372347300902
gap_09,gap,0.4340266051252992,0.09154125427126802,0.16548602731212925,1.0142780740158674,7.541306441437416,1.0825789041772722,2.0,2.223173115143268,0.6527492406894205,0.5563136792065781,0.7760967328844672,0.49539019307451415,3.368958757173993,1.9593075989130502,4.043502155271234,0.475,0.568,2.2578541479282013,1.67099130153656,0.13704191438454325
