cloud,n,nn_median,nn_p10,nn_p90,rms_radius,grain,intrinsic_dim
poems,1200,4.20809531211853,3.476045846939087,5.133846950531007,5.606590270996094,0.7505623041312237,18.077357538515653
wiki,1200,3.691276431083679,2.8859660625457764,4.945190906524658,5.059007167816162,0.7296444358818934,16.908085214876525
contemplative,1200,4.418877601623535,3.5182387828826904,5.796134281158448,5.794582366943359,0.7625877624644918,17.366153564057154
noise,100,1.723867118358612,1.414548635482788,2.3477603912353517,2.303647041320801,0.748320852733685,12.34004287543306
