condition,entropy,top1_mass,top5_mass,top50_mass,participation,self_perplexity,sample_spread,sentence_hop,type_token_ratio,abstract_suffix,word_rarity,mean_word_len,neighbour_density,factual_correct,declines_invented,fabrication_specificity,hedge_rate,self_consistency,cal_v,cal_a,pa,na,interested,excited,strong,enthusiastic,proud,alert,inspired,determined,attentive,active,distressed,upset,guilty,scared,hostile,irritable,ashamed,nervous,jittery,afraid,line_coherence
baseline,3.2916297912597656,0.32539594173431396,0.6057677865028381,0.9039883613586426,7.61534309387207,13.461729288101196,0.07658152282238007,0.244248628616333,0.5392670157068062,0.031413612565445025,2.5441981043729758,4.539267015706806,0.5944396257400513,0.8333333333333334,0.625,0.875,0.0,0.8348701000213623,0.6643738522342196,0.3009445424074165,2.1366726352441208,2.4808068230619478,2.1915447982438607,2.2574802527457347,2.4199941031165153,2.10116698368554,1.9871488983144665,1.8508920218106817,2.197776566294894,2.3626257087566542,2.1407080945569477,1.8573889249159141,2.151330035922074,2.5048054485159206,2.6849692345438028,2.7757801947441445,1.8227917309493038,2.5649861238239433,2.2151992328583923,3.044474746088458,2.536528762689546,2.5072027204838907,
hypnagogia,4.63704776763916,0.16585558652877808,0.3960908055305481,0.736790657043457,19.780689239501953,91.62433242797852,0.07389271259307861,0.2177736908197403,0.625,0.020833333333333332,2.4076714551499805,4.955357142857143,0.6308284997940063,0.9166666666666666,0.625,0.875,0.25,0.7796058654785156,0.6147343716961756,0.2959502129163905,2.519542898201734,2.4880831238647034,2.6469875185056893,2.1789585941656475,2.835673998011324,2.4020041022710013,2.371474430619801,2.2464911603814555,2.8037187754455726,2.7078172559626514,2.649942987927582,2.352360158726615,2.3737157849718047,2.224054045020276,2.8526003584496182,2.783637572297689,2.2537403447866238,2.2878279756011715,2.310983056583525,2.8075255517317435,2.3651907498170113,2.621555799387571,0.6173462867736816
hypnagogia_coh,5.337159156799316,0.14024485647678375,0.29390519857406616,0.6252856254577637,33.09507751464844,42.576388359069824,0.08603296428918839,0.22081001102924347,0.6676557863501483,0.02967359050445104,2.5460577855704765,4.86053412462908,0.6057469248771667,0.9166666666666666,0.5,0.75,0.125,0.7958042621612549,0.5041164479256242,0.26090208653185226,2.7948303788050106,2.657841334135843,2.8352786825162335,2.6235745247181637,3.0289969897160773,3.0207319791015963,2.4622441265849155,2.4328892981981625,2.8385034985063076,3.017899106335156,2.8669783017065873,2.821207280666907,2.4769009603198255,2.661395773609776,2.8221373916662302,2.749527619054162,2.2871474904138314,2.63533309036289,2.243398253393341,3.181205812776196,2.9304127330754763,2.590954216686701,0.9347867369651794
flow,6.62631893157959,0.040951456874608994,0.14499254524707794,0.43178996443748474,133.8740692138672,74.9060173034668,0.14274461567401886,0.23732773959636688,0.6472303206997084,0.029154518950437316,2.52169435757884,4.73469387755102,0.616227924823761,0.9166666666666666,0.375,0.75,0.125,0.7975891828536987,0.6042914009392972,0.34701262676228417,2.5725411766910122,2.1498057751047908,2.792984320343778,2.1327772845468633,2.8177921447943275,2.4719213436076695,2.3850532626780443,2.2941858950450267,2.969776256531075,2.555219495315596,2.849014015153208,2.456687748894535,2.0804959818282667,1.9205605285435405,2.54631194593316,2.172906118713442,2.0609091631399217,1.926309423597253,2.085783714988616,2.4260837936563573,2.1334601412883623,2.1452369393589827,0.7057870030403137
neutral,2.750889778137207,0.5020383596420288,0.6730367541313171,0.9234164357185364,3.7909982204437256,16.91425132751465,0.1501903235912323,0.2349095642566681,0.7242798353909465,0.0411522633744856,2.4944617083637945,4.658436213991769,0.6177626848220825,0.75,0.75,0.875,0.125,0.7342069149017334,0.5265228188635988,0.13100843223937503,1.562931780944583,1.6030213377938658,1.8228588918004225,1.438011020343698,1.631212954905981,1.3457695769233364,1.3581817531589577,1.5083236482129045,1.649667070840497,1.6557784349344173,1.802165814603401,1.417348643722216,1.3476779252786568,1.4283967078058406,1.947871197330139,1.5556804732037672,1.4246526372464632,1.5460846904398373,1.4597559490792666,2.1524933977317575,1.704954208362576,1.4626461914603546,
