build,entropy,self_perplexity,cal_v,cal_a,cal_error,pa,na,interested,excited,strong,enthusiastic,proud,alert,inspired,determined,attentive,active,distressed,upset,guilty,scared,hostile,irritable,ashamed,nervous,jittery,afraid,bank_v,bank_a,line_coherence,n_distinct
baseline (no poem),3.2916297912597656,13.328609228134155,0.6643738522342196,0.3009445424074165,0.1609806891572429,2.1366726352441208,2.4808068230619478,2.1915447982438607,2.2574802527457347,2.4199941031165153,2.10116698368554,1.9871488983144665,1.8508920218106817,2.197776566294894,2.3626257087566542,2.1407080945569477,1.8573889249159141,2.151330035922074,2.5048054485159206,2.6849692345438028,2.7757801947441445,1.8227917309493038,2.5649861238239433,2.2151992328583923,3.044474746088458,2.536528762689546,2.5072027204838907,0.5403846153846154,0.6076923076923076,,0
published (valley),4.63704776763916,92.82040023803711,0.6147343716961756,0.2959502129163905,0.1407488953443791,2.519542898201734,2.4880831238647034,2.6469875185056893,2.1789585941656475,2.835673998011324,2.4020041022710013,2.371474430619801,2.2464911603814555,2.8037187754455726,2.7078172559626514,2.649942987927582,2.352360158726615,2.3737157849718047,2.224054045020276,2.8526003584496182,2.783637572297689,2.2537403447866238,2.2878279756011715,2.310983056583525,2.8075255517317435,2.3651907498170113,2.621555799387571,0.3821428571428571,0.5785714285714285,0.6173462867736816,24
final (w=0.3),6.011575698852539,63.85220146179199,0.5689922558012572,0.34863504598420963,0.07910685997498428,2.607651921677471,3.205797747807226,2.7257794569866416,2.302985551306348,2.7935759311103716,2.4298709458036822,2.6276488558506275,2.3791552904265165,2.6145107761771547,2.634333309114091,2.7783392469664983,2.790319853032778,3.206158658321832,3.416968980861361,3.286171734167097,3.295469723213834,2.964341554639221,3.1831649145970307,2.9457785932324922,3.3378960362239085,3.0917522492468765,3.3302750335686064,0.38981481481481484,0.5962962962962963,0.8617452383041382,24
degenerate (w=1.0),5.337159156799316,41.974759101867676,0.5041164479256242,0.26090208653185226,0.17753293521719268,2.7948303788050106,2.657841334135843,2.8352786825162335,2.6235745247181637,3.0289969897160773,3.0207319791015963,2.4622441265849155,2.4328892981981625,2.8385034985063076,3.017899106335156,2.8669783017065873,2.821207280666907,2.4769009603198255,2.661395773609776,2.8221373916662302,2.749527619054162,2.2871474904138314,2.63533309036289,2.243398253393341,3.181205812776196,2.9304127330754763,2.590954216686701,0.38981481481481484,0.5962962962962963,0.9347867369651794,24
