build,drift,entropy,self_perplexity,poem_ttr,n_distinct,line_coherence,cal_error,screened_lines,pa,na,interested,excited,strong,enthusiastic,proud,alert,inspired,determined,attentive,active,distressed,upset,guilty,scared,hostile,irritable,ashamed,nervous,jittery,afraid
drift-searched (max),0.26004132628440857,5.655252456665039,115.63807678222656,0.85,16,0.5222845673561096,0.18262796255903993,0,2.4733738740634075,1.8711255525227024,2.471609083314016,2.4593293934547154,2.6168010070095677,2.6178674612541153,2.4944862379252237,2.2282405025230574,2.708789521831828,2.4979851718621218,2.5544064366209307,2.084223924838498,1.9274364355013753,1.7278997908315197,2.03722450096544,1.9210486593786782,1.87503658778738,1.633736804663125,1.7177833272681338,2.200983082692537,1.946284275319379,1.7238220608194577
drift-searched (min),0.2334740161895752,6.078394889831543,113.10957908630371,0.8095238095238095,16,0.5143019556999207,0.1025897700951169,0,2.521186857106803,2.3092220299567665,2.6379978950599554,2.3439732782529035,2.6236817636752052,2.5326972242039787,2.300912020353537,2.3555024392878163,2.74892071121743,2.5787426163608194,2.6903839018953994,2.399056720760986,2.2364679506448226,2.1295489670353627,2.459642822080036,2.392428413359561,2.2316461394580918,2.1214700381045803,2.210008232962278,2.6775351515302486,2.3821729840667016,2.2512996003259778
semantic (about sleep),0.2872007489204407,5.631523609161377,44.426856994628906,0.6722689075630253,16,0.8585121631622314,0.09588371023429618,0,2.368221662281334,2.7626884506666682,2.522559132541674,2.2016903774154093,2.588023776518895,2.1281876719848016,1.977279107333366,2.28537529280416,2.4339266912522532,2.501113197711459,2.5154142237252564,2.5286471515260645,2.6114845161713993,2.9619273866282985,2.9324882533664733,2.837059584188242,2.455655002863679,2.6933985532215354,2.3837368558994205,3.137866398053799,2.7507455228299156,2.8625224334439174
random (screened),0.2699098289012909,5.573353290557861,84.15354919433594,0.797979797979798,16,0.47674307227134705,0.0949614075639467,0,2.679290010660023,2.4931287125157686,2.7515038837487005,2.527285760166737,2.961857811124454,2.838881479533365,2.4017136896421034,2.3075450056271647,3.007859564886222,2.7421003269657804,2.7354496177828205,2.518702967122882,2.819232381352469,2.582183198182278,2.673666707669677,2.5592592595505517,2.2424592635327016,2.0179094629060867,2.8129689054217533,2.602022953720742,2.2988232393964765,2.322761753424946
