rule,start,start_v,start_a,n_distinct,coherence,affect_error,n,drift,ci_lo,ci_hi,mean_hops
polygon,S1,0.5,0.5,15,0.7159736752510071,0.03238501451814509,92,0.24294244716672794,0.22573532168955907,0.26040623014711817,4.34
polygon,S3,0.4,0.45,16,0.6737340688705444,0.027027469283971546,86,0.23629550219968307,0.21887760829873557,0.2541651772811662,3.34
polygon,S2,0.6,0.25,15,0.759268581867218,0.07047176648870147,96,0.22798242652788758,0.2092075151546548,0.2503264726061995,4.43
walk,S3,0.4,0.45,16,0.8262787461280823,0.08307810274333209,97,0.22635908401811244,0.21121727776012778,0.2422170447492876,4.42
polygon,S4,0.7,0.3,16,0.6531416773796082,0.06091708916343604,87,0.22536850532238512,0.20812603009158168,0.24371822696264792,3.54
walk,S1,0.5,0.5,16,0.8226633667945862,0.04607190940635533,91,0.21468333146729313,0.19990380719549708,0.23009937508338754,3.83
walk,S4,0.7,0.3,16,0.8593612313270569,0.09244985355626181,88,0.20158421569927173,0.18650950352576645,0.21690258286385372,3.54
walk,S2,0.6,0.25,16,0.8585121631622314,0.08953620437526061,94,0.19393494424033672,0.18347404573429774,0.20458175633102654,4.24
