target,k,line_coherence,entropy,d_entropy,participation,top1_mass,self_perplexity,n_distinct
hypnagogia,1,0.9347867369651794,5.337159156799316,2.045529365539551,33.09507751464844,0.14024485647678375,41.974759101867676,24
hypnagogia,2,0.9028201103210449,6.179423809051514,2.887794017791748,93.29058074951172,0.061604246497154236,47.8391056060791,24
hypnagogia,3,0.9380767941474915,5.386540412902832,2.0949106216430664,39.72905731201172,0.09120587259531021,38.27519226074219,24
hypnagogia,5,0.9377259016036987,5.553523063659668,2.2618932723999023,48.22831344604492,0.08258748799562454,39.45140361785889,24
hypnagogia,10,0.9345983266830444,5.62990665435791,2.3382768630981445,57.33766555786133,0.07142756134271622,38.106492042541504,24
hypnagogia,25,0.9293100833892822,5.40078592300415,2.1091561317443848,48.44647979736328,0.06923898309469223,34.60160446166992,24
hypnagogia,50,0.9148103594779968,5.506734848022461,2.2151050567626953,47.96184158325195,0.08119384944438934,44.84808158874512,24
hypnagogia,100,0.8989903926849365,5.49965763092041,2.2080278396606445,40.72295379638672,0.11810236424207687,47.05569553375244,24
hypnagogia,250,0.886785089969635,5.576441764831543,2.2848119735717773,63.20452880859375,0.06795944273471832,66.22018432617188,24
hypnagogia,1000,0.8463366031646729,5.871362209320068,2.5797324180603027,59.97657775878906,0.06739628314971924,78.97441291809082,24
flow,1,0.941616415977478,5.141975402832031,1.8503456115722656,29.459075927734375,0.1303921490907669,36.339261054992676,24
flow,2,0.9383708834648132,5.398798942565918,2.1071691513061523,37.86741256713867,0.1178516373038292,40.53245830535889,24
flow,3,0.940608561038971,5.5159149169921875,2.224285125732422,30.313669204711914,0.1385696977376938,42.5545539855957,24
flow,5,0.9365465044975281,5.136410713195801,1.8447809219360352,32.23200225830078,0.13690853118896484,36.93530797958374,24
flow,10,0.9278874397277832,5.063225746154785,1.7715959548950195,36.85270690917969,0.1029551774263382,38.96818733215332,24
flow,25,0.9224035143852234,5.386497974395752,2.0948681831359863,38.983299255371094,0.10112911462783813,44.044039726257324,24
flow,50,0.9133063554763794,5.476069450378418,2.1844396591186523,43.835384368896484,0.08870646357536316,51.98804187774658,24
flow,100,0.9038707613945007,5.601263999938965,2.309634208679199,46.73344802856445,0.09602103382349014,52.168789863586426,24
flow,250,0.8788503408432007,5.720108985900879,2.4284791946411133,53.50408935546875,0.08148785680532455,67.68148136138916,24
flow,1000,0.8423151969909668,5.47330904006958,2.1816792488098145,50.00181198120117,0.08736935257911682,79.69870376586914,24
no_mask,1,0.9245476126670837,5.220531463623047,1.9289016723632812,44.592647552490234,0.07677799463272095,37.331183433532715,24
no_mask,2,0.9199002385139465,4.816343307495117,1.5247135162353516,31.802684783935547,0.1198146790266037,47.84674072265625,24
no_mask,3,0.9304969906806946,5.335879325866699,2.0442495346069336,27.733606338500977,0.15138322114944458,39.52228260040283,24
no_mask,5,0.9200696349143982,5.435884952545166,2.1442551612854004,32.67483139038086,0.1310408115386963,38.308698654174805,24
no_mask,10,0.9205765724182129,5.361754417419434,2.070124626159668,42.94427490234375,0.10297930240631104,48.14750862121582,24
no_mask,25,0.9040446281433105,5.512393951416016,2.22076416015625,57.54527282714844,0.05836331099271774,53.51506805419922,24
no_mask,50,0.9040995240211487,4.764974117279053,1.473344326019287,34.76258087158203,0.08191657066345215,47.68472385406494,24
no_mask,100,0.904108464717865,6.047646522521973,2.756016731262207,74.95069122314453,0.0704844519495964,58.42178726196289,24
no_mask,250,0.8852607607841492,5.7804059982299805,2.488776206970215,44.77964401245117,0.10931457579135895,59.28576946258545,24
no_mask,1000,0.8546237349510193,5.7252702713012695,2.433640480041504,60.708160400390625,0.06721311807632446,70.14604473114014,24
