build,entropy,drift_heldout,self_perplexity,gen_ttr,poem_ttr,line_coherence,cal_error,pa,na,interested,excited,strong,enthusiastic,proud,alert,inspired,determined,attentive,active,distressed,upset,guilty,scared,hostile,irritable,ashamed,nervous,jittery,afraid,bank_v,bank_a
searched (max entropy),7.061144828796387,0.21993818879127502,201.7504997253418,0.6887966804979253,0.8598726114649682,0.4673592448234558,0.036647423823970834,2.3817366204027857,2.6729352710666916,2.383262545129665,2.311627411528444,2.5192072998602275,2.315461241734751,2.377835018484233,2.209743581989661,2.4541545854881237,2.4411768909527556,2.4640611495216325,2.34083647933836,2.745872714319834,2.6892364517324747,2.740465499653568,2.775493759044771,2.6723988263264333,2.631950821791902,2.3727968093516023,2.849647194599601,2.600973050935232,2.6505175829114984,0.38981481481481484,0.5962962962962963
searched_down (min entropy),4.390720367431641,0.19770115613937378,75.29769134521484,0.6857142857142857,0.8203125,0.5076695084571838,0.26726485786065923,2.770536064439452,2.0378890406999193,2.7303755140904133,2.780290022914101,3.0099082034157667,2.943356867028205,2.95621322483303,2.4076515502140197,3.00920486270272,2.7205806463486693,2.7221823547280724,2.4255973981195162,1.833227859840009,1.6771931343025925,2.283422752517949,2.1536527620485053,1.8979285715407057,1.8602843853666617,1.8592935194294242,2.5848123692715634,2.2981068663711004,1.9309681863106833,0.41100000000000003,0.5816
"semantic (w=0.3, about sleep)",6.011575698852539,0.29043102264404297,63.761610984802246,0.6268656716417911,0.6208791208791209,0.8617452383041382,0.07910685997498428,2.607651921677471,3.205797747807226,2.7257794569866416,2.302985551306348,2.7935759311103716,2.4298709458036822,2.6276488558506275,2.3791552904265165,2.6145107761771547,2.634333309114091,2.7783392469664983,2.790319853032778,3.206158658321832,3.416968980861361,3.286171734167097,3.295469723213834,2.964341554639221,3.1831649145970307,2.9457785932324922,3.3378960362239085,3.0917522492468765,3.3302750335686064,0.38981481481481484,0.5962962962962963
random lines,6.40602970123291,0.1864761859178543,123.2938461303711,0.6727272727272727,0.7262569832402235,0.6536825299263,0.07395425632444731,2.6087908003964286,3.135154649996772,2.6749121018840816,2.4536288495622514,2.832409874524951,2.444102836750647,2.1712758107314,2.523749197859458,2.685781703090422,2.7516351155087624,2.7845883919939207,2.7658241220583926,3.36180109553404,3.4083765638918493,3.1083774806147084,3.23884600247418,3.232296758129133,2.9790846752426305,2.8674487940034417,3.0747497442551817,2.9270545176988483,3.153510868123706,0.38981481481481484,0.5962962962962963
