w,line_coherence,affect_error,entropy,d_entropy,participation,self_perplexity,n_distinct
0.0,0.5829741954803467,0.09038984071719787,5.610709190368652,2.3190793991088867,66.9457778930664,104.24469757080078,24
0.1,0.7955828309059143,0.08946443859732167,6.768505573272705,3.4768757820129395,121.13011932373047,75.10972213745117,24
0.2,0.8160192370414734,0.0906829133414183,6.7621378898620605,3.470508098602295,134.2548065185547,76.26736450195312,24
0.3,0.8617452383041382,0.08866842189733111,6.011575698852539,2.7199459075927734,77.3213882446289,63.85220146179199,24
0.4,0.8776153326034546,0.08934374615681892,6.153228282928467,2.861598491668701,47.34729766845703,47.0134916305542,24
0.5,0.878490686416626,0.08930082813487694,6.171801567077637,2.880171775817871,52.445133209228516,47.512051582336426,24
0.6,0.8944965600967407,0.08549103653222005,6.004289627075195,2.7126598358154297,48.77443313598633,45.19723701477051,24
0.75,0.90772545337677,0.08730533505867089,6.108027935028076,2.8163981437683105,70.92138671875,44.091403007507324,24
0.9,0.9244017601013184,0.08397935583982749,6.012483596801758,2.720853805541992,60.48835372924805,43.65237045288086,24
1.0,0.9347867369651794,0.0542378090472007,5.337159156799316,2.045529365539551,33.09507751464844,41.974759101867676,24
