condition,n,drift,ci_lo,ci_hi,sd,se,mean_hops,ttr
drift_searched,95,0.25740604988838495,0.2350853256057752,0.2826456444494818,0.1193104116607082,0.012240989954225477,3.81,0.9260461217945952
baseline,100,0.250414282977581,0.2362209431566298,0.2653191992454231,0.07426949005982073,0.007426949005982073,6.42,0.8833034680002261
neutral_prose,59,0.23049939840526903,0.2043348482604754,0.2607006202625521,0.11248880330884524,0.01464479480031466,1.97,0.9531181986840016
random_screened,89,0.20910202778792114,0.19192177233066451,0.22743377123195468,0.08622701840514885,0.009140045670872716,3.6,0.9285520378389905
flow,91,0.20835882744618825,0.19463044673941293,0.22232136585350548,0.06763596961413443,0.007090176136348154,4.14,0.9091616883261153
semantic,94,0.19393494424033672,0.18359464568660613,0.20489971667250736,0.05235927439689266,0.005400446805164916,4.24,0.902585102288195
